Pallet: "pallet_uniques", Extrinsic: "create", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
28593,1545,0,0,0,0,0
24754,1435,0,0,0,0,0
36338,1341,0,0,0,0,0
23646,1315,0,0,0,0,0
23533,1330,0,0,0,0,0
23355,1308,0,0,0,0,0
23298,1307,0,0,0,0,0
23032,1345,0,0,0,0,0
22886,1333,0,0,0,0,0
22789,1301,0,0,0,0,0
28630,1417,0,0,0,0,0
22819,1316,0,0,0,0,0
23330,1342,0,0,0,0,0
23220,1340,0,0,0,0,0
23071,1314,0,0,0,0,0
23305,1332,0,0,0,0,0
23085,1346,0,0,0,0,0
23137,1319,0,0,0,0,0
23267,1297,0,0,0,0,0
23160,1337,0,0,0,0,0

Raw Storage Info
========
Storage: Uniques Class (r:1 w:1)
Storage: Uniques ClassAccount (r:0 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    23.29
              µs

Reads = 1
Writes = 2

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    23.29
              µs

Reads = 1
Writes = 2

Pallet: "pallet_uniques", Extrinsic: "force_create", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
18885,1418,0,0,0,0,0
13800,1235,0,0,0,0,0
13486,1151,0,0,0,0,0
13242,1128,0,0,0,0,0
12803,1140,0,0,0,0,0
13010,1084,0,0,0,0,0
12847,1085,0,0,0,0,0
12777,1114,0,0,0,0,0
12640,1115,0,0,0,0,0
12892,1107,0,0,0,0,0
12641,1075,0,0,0,0,0
12674,1130,0,0,0,0,0
12693,1154,0,0,0,0,0
12876,1152,0,0,0,0,0
12639,1143,0,0,0,0,0
12710,1076,0,0,0,0,0
12709,1086,0,0,0,0,0
12692,1079,0,0,0,0,0
12962,1130,0,0,0,0,0
12587,1144,0,0,0,0,0

Raw Storage Info
========
Storage: Uniques Class (r:1 w:1)
Storage: Uniques ClassAccount (r:0 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=     12.8
              µs

Reads = 1
Writes = 2

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=     12.8
              µs

Reads = 1
Writes = 2

Pallet: "pallet_uniques", Extrinsic: "destroy", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
n,m,a,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
60,1000,1000,1921054,2663,0,0,0,0,0
60,1000,1000,1902696,2795,0,0,0,0,0
60,1000,1000,1907335,3490,0,0,0,0,0
60,1000,1000,1892239,2733,0,0,0,0,0
60,1000,1000,1912280,2991,0,0,0,0,0
60,1000,1000,1889911,3157,0,0,0,0,0
60,1000,1000,1894717,3058,0,0,0,0,0
60,1000,1000,1897534,2720,0,0,0,0,0
80,1000,1000,2075588,2815,0,0,0,0,0
80,1000,1000,2068795,2979,0,0,0,0,0
80,1000,1000,2089107,2796,0,0,0,0,0
80,1000,1000,2093597,3521,0,0,0,0,0
80,1000,1000,2086174,2956,0,0,0,0,0
80,1000,1000,2088665,3063,0,0,0,0,0
80,1000,1000,2149845,2687,0,0,0,0,0
80,1000,1000,2087359,2650,0,0,0,0,0
80,1000,1000,2070073,2957,0,0,0,0,0
80,1000,1000,2062140,2976,0,0,0,0,0
80,1000,1000,2125474,3014,0,0,0,0,0
80,1000,1000,2080762,2897,0,0,0,0,0
80,1000,1000,2073900,2978,0,0,0,0,0
80,1000,1000,2203733,3180,0,0,0,0,0
80,1000,1000,2089282,2972,0,0,0,0,0
80,1000,1000,2061229,3420,0,0,0,0,0
80,1000,1000,2090324,3195,0,0,0,0,0
80,1000,1000,2077374,2796,0,0,0,0,0
80,1000,1000,2142625,2655,0,0,0,0,0
80,1000,1000,2071670,2780,0,0,0,0,0
100,1000,1000,2223871,3136,0,0,0,0,0
100,1000,1000,2272763,2850,0,0,0,0,0
100,1000,1000,2237715,2759,0,0,0,0,0
100,1000,1000,2226752,2897,0,0,0,0,0
100,1000,1000,2214356,3113,0,0,0,0,0
100,1000,1000,2227277,2962,0,0,0,0,0
100,1000,1000,2235247,3498,0,0,0,0,0
100,1000,1000,2225822,3080,0,0,0,0,0
100,1000,1000,2238413,2964,0,0,0,0,0
100,1000,1000,2258899,3287,0,0,0,0,0
100,1000,1000,2242011,3311,0,0,0,0,0
100,1000,1000,2271118,3128,0,0,0,0,0
100,1000,1000,2231965,3158,0,0,0,0,0
100,1000,1000,2239313,3119,0,0,0,0,0
100,1000,1000,2228295,3224,0,0,0,0,0
100,1000,1000,2274478,3227,0,0,0,0,0
100,1000,1000,2237040,3113,0,0,0,0,0
100,1000,1000,2240518,3395,0,0,0,0,0
100,1000,1000,2232272,3306,0,0,0,0,0
100,1000,1000,2479886,2905,0,0,0,0,0
120,1000,1000,2412852,3397,0,0,0,0,0
120,1000,1000,2381302,3013,0,0,0,0,0
120,1000,1000,2402083,3111,0,0,0,0,0
120,1000,1000,2377648,2925,0,0,0,0,0
120,1000,1000,2376837,2905,0,0,0,0,0
120,1000,1000,2369188,3236,0,0,0,0,0
120,1000,1000,2417499,2920,0,0,0,0,0
120,1000,1000,2387725,2942,0,0,0,0,0
120,1000,1000,2351334,3148,0,0,0,0,0
120,1000,1000,2382698,3289,0,0,0,0,0
120,1000,1000,2373578,2855,0,0,0,0,0
120,1000,1000,2424847,3046,0,0,0,0,0
120,1000,1000,2371969,2756,0,0,0,0,0
120,1000,1000,2374220,3039,0,0,0,0,0
120,1000,1000,2406798,3037,0,0,0,0,0
120,1000,1000,2365846,2871,0,0,0,0,0
120,1000,1000,2430525,3589,0,0,0,0,0
120,1000,1000,2378218,2786,0,0,0,0,0
120,1000,1000,2365769,3300,0,0,0,0,0
120,1000,1000,2383500,2915,0,0,0,0,0
140,1000,1000,2583509,3186,0,0,0,0,0
140,1000,1000,2608431,2748,0,0,0,0,0
140,1000,1000,2600262,3189,0,0,0,0,0
140,1000,1000,2603534,2755,0,0,0,0,0
140,1000,1000,2581470,2999,0,0,0,0,0
140,1000,1000,2568385,2811,0,0,0,0,0
140,1000,1000,2589690,2913,0,0,0,0,0
140,1000,1000,2591343,2928,0,0,0,0,0
140,1000,1000,2615057,3011,0,0,0,0,0
140,1000,1000,2576228,2904,0,0,0,0,0
140,1000,1000,2620172,3234,0,0,0,0,0
140,1000,1000,2633683,2815,0,0,0,0,0
140,1000,1000,2592391,3211,0,0,0,0,0
140,1000,1000,2556983,2678,0,0,0,0,0
140,1000,1000,2592270,4075,0,0,0,0,0
140,1000,1000,2599474,2857,0,0,0,0,0
140,1000,1000,2591652,3320,0,0,0,0,0
140,1000,1000,2566699,3210,0,0,0,0,0
140,1000,1000,2605174,2951,0,0,0,0,0
140,1000,1000,2596508,2790,0,0,0,0,0
160,1000,1000,2744904,2968,0,0,0,0,0
160,1000,1000,2722930,3174,0,0,0,0,0
160,1000,1000,2709652,3419,0,0,0,0,0
160,1000,1000,2795179,3016,0,0,0,0,0
160,1000,1000,2712966,3100,0,0,0,0,0
160,1000,1000,2687578,3660,0,0,0,0,0
160,1000,1000,2707858,3091,0,0,0,0,0
160,1000,1000,2745673,3064,0,0,0,0,0
160,1000,1000,2707860,3454,0,0,0,0,0
160,1000,1000,2700760,3035,0,0,0,0,0
160,1000,1000,2710953,2957,0,0,0,0,0
160,1000,1000,2710861,3257,0,0,0,0,0
160,1000,1000,2713716,3065,0,0,0,0,0
160,1000,1000,2700469,2932,0,0,0,0,0
160,1000,1000,2770760,2991,0,0,0,0,0
160,1000,1000,2715135,2963,0,0,0,0,0
160,1000,1000,2718765,3970,0,0,0,0,0
160,1000,1000,2762250,2867,0,0,0,0,0
160,1000,1000,2740469,3016,0,0,0,0,0
160,1000,1000,2741586,2795,0,0,0,0,0
180,1000,1000,2892204,3613,0,0,0,0,0
180,1000,1000,2869885,2788,0,0,0,0,0
180,1000,1000,2868949,3076,0,0,0,0,0
180,1000,1000,2889458,3261,0,0,0,0,0
180,1000,1000,2980723,3047,0,0,0,0,0
180,1000,1000,2882383,2996,0,0,0,0,0
180,1000,1000,2894665,2997,0,0,0,0,0
180,1000,1000,2854089,3130,0,0,0,0,0
180,1000,1000,2900769,2801,0,0,0,0,0
180,1000,1000,2969614,2992,0,0,0,0,0
180,1000,1000,2900326,3105,0,0,0,0,0
180,1000,1000,2868654,4017,0,0,0,0,0
180,1000,1000,2878518,2869,0,0,0,0,0
180,1000,1000,2855593,2814,0,0,0,0,0
180,1000,1000,2908007,3242,0,0,0,0,0
180,1000,1000,2883642,3130,0,0,0,0,0
180,1000,1000,2901332,2953,0,0,0,0,0
180,1000,1000,2880695,2838,0,0,0,0,0
180,1000,1000,2891651,3063,0,0,0,0,0
180,1000,1000,2862207,2953,0,0,0,0,0
200,1000,1000,3028659,3173,0,0,0,0,0
200,1000,1000,3075676,2932,0,0,0,0,0
200,1000,1000,3028792,3233,0,0,0,0,0
200,1000,1000,3033892,2930,0,0,0,0,0
200,1000,1000,3031134,3316,0,0,0,0,0
200,1000,1000,3138220,3533,0,0,0,0,0
200,1000,1000,3078444,3494,0,0,0,0,0
200,1000,1000,3020583,3041,0,0,0,0,0
200,1000,1000,3052992,3127,0,0,0,0,0
200,1000,1000,3055684,2972,0,0,0,0,0
200,1000,1000,3087572,3524,0,0,0,0,0
200,1000,1000,3062136,3112,0,0,0,0,0
200,1000,1000,3059113,3856,0,0,0,0,0
200,1000,1000,3039658,3308,0,0,0,0,0
200,1000,1000,3017305,3763,0,0,0,0,0
200,1000,1000,3010685,3239,0,0,0,0,0
200,1000,1000,3046681,3077,0,0,0,0,0
200,1000,1000,3019030,3684,0,0,0,0,0
200,1000,1000,3030093,2885,0,0,0,0,0
200,1000,1000,3073916,3183,0,0,0,0,0
220,1000,1000,3263095,3082,0,0,0,0,0
220,1000,1000,3218816,3273,0,0,0,0,0
220,1000,1000,3225162,3182,0,0,0,0,0
220,1000,1000,3231172,2950,0,0,0,0,0
220,1000,1000,3216495,2991,0,0,0,0,0
220,1000,1000,3296743,3000,0,0,0,0,0
220,1000,1000,3236518,3446,0,0,0,0,0
220,1000,1000,3250698,3497,0,0,0,0,0
220,1000,1000,3230200,3798,0,0,0,0,0
220,1000,1000,3260412,3028,0,0,0,0,0
220,1000,1000,3230970,3246,0,0,0,0,0
220,1000,1000,3242160,3350,0,0,0,0,0
220,1000,1000,3262271,3241,0,0,0,0,0
220,1000,1000,3223101,3410,0,0,0,0,0
220,1000,1000,3245052,3222,0,0,0,0,0
220,1000,1000,3262608,2970,0,0,0,0,0
220,1000,1000,3249782,3133,0,0,0,0,0
220,1000,1000,3240947,3174,0,0,0,0,0
220,1000,1000,3251388,3085,0,0,0,0,0
220,1000,1000,3247412,2876,0,0,0,0,0
240,1000,1000,3412818,3723,0,0,0,0,0
240,1000,1000,3400378,3658,0,0,0,0,0
240,1000,1000,3479480,3315,0,0,0,0,0
240,1000,1000,3394415,2856,0,0,0,0,0
240,1000,1000,3390502,3506,0,0,0,0,0
240,1000,1000,3446813,3010,0,0,0,0,0
240,1000,1000,3407634,3642,0,0,0,0,0
240,1000,1000,3402223,3245,0,0,0,0,0
240,1000,1000,3409223,3288,0,0,0,0,0
240,1000,1000,3393738,3494,0,0,0,0,0
240,1000,1000,3410170,3345,0,0,0,0,0
240,1000,1000,3437193,3346,0,0,0,0,0
240,1000,1000,3409951,3535,0,0,0,0,0
240,1000,1000,3412292,3038,0,0,0,0,0
240,1000,1000,3425151,3241,0,0,0,0,0
240,1000,1000,3389716,3230,0,0,0,0,0
240,1000,1000,3397072,3049,0,0,0,0,0
240,1000,1000,3461924,3282,0,0,0,0,0
240,1000,1000,3454622,3341,0,0,0,0,0
240,1000,1000,3409890,2992,0,0,0,0,0
260,1000,1000,3574996,3617,0,0,0,0,0
260,1000,1000,3551539,3395,0,0,0,0,0
260,1000,1000,3580008,3374,0,0,0,0,0
260,1000,1000,3558169,3241,0,0,0,0,0
260,1000,1000,3631193,2975,0,0,0,0,0
260,1000,1000,3569029,3017,0,0,0,0,0
260,1000,1000,3548324,3252,0,0,0,0,0
260,1000,1000,3570377,3448,0,0,0,0,0
260,1000,1000,3551549,3040,0,0,0,0,0
260,1000,1000,3553945,3094,0,0,0,0,0
260,1000,1000,3530879,3076,0,0,0,0,0
260,1000,1000,3649404,2878,0,0,0,0,0
260,1000,1000,3568406,3227,0,0,0,0,0
260,1000,1000,3565439,3856,0,0,0,0,0
260,1000,1000,3551364,2957,0,0,0,0,0
260,1000,1000,3555741,2919,0,0,0,0,0
260,1000,1000,3540660,2900,0,0,0,0,0
260,1000,1000,3615259,3017,0,0,0,0,0
260,1000,1000,3640952,3084,0,0,0,0,0
260,1000,1000,3613412,3397,0,0,0,0,0
280,1000,1000,3828704,3285,0,0,0,0,0
280,1000,1000,3801619,3689,0,0,0,0,0
280,1000,1000,3820142,3441,0,0,0,0,0
280,1000,1000,3747567,3512,0,0,0,0,0
280,1000,1000,3760310,3034,0,0,0,0,0
280,1000,1000,3738943,3263,0,0,0,0,0
280,1000,1000,3755873,3306,0,0,0,0,0
280,1000,1000,3906753,3271,0,0,0,0,0
280,1000,1000,3842444,3057,0,0,0,0,0
280,1000,1000,3796466,3237,0,0,0,0,0
280,1000,1000,3851558,3055,0,0,0,0,0
280,1000,1000,3861988,3327,0,0,0,0,0
280,1000,1000,3805063,3156,0,0,0,0,0
280,1000,1000,3804922,3219,0,0,0,0,0
280,1000,1000,3788492,3070,0,0,0,0,0
280,1000,1000,3783798,3286,0,0,0,0,0
280,1000,1000,3789917,2931,0,0,0,0,0
280,1000,1000,3812374,3639,0,0,0,0,0
280,1000,1000,3759444,3816,0,0,0,0,0
280,1000,1000,3775699,3293,0,0,0,0,0
300,1000,1000,3986540,3098,0,0,0,0,0
300,1000,1000,3941948,3153,0,0,0,0,0
300,1000,1000,4020895,3247,0,0,0,0,0
300,1000,1000,3999691,3064,0,0,0,0,0
300,1000,1000,3954595,3481,0,0,0,0,0
300,1000,1000,3980018,3226,0,0,0,0,0
300,1000,1000,4003648,3802,0,0,0,0,0
300,1000,1000,3978064,3302,0,0,0,0,0
300,1000,1000,3964774,2933,0,0,0,0,0
300,1000,1000,4027458,3280,0,0,0,0,0
300,1000,1000,3968736,3406,0,0,0,0,0
300,1000,1000,4009687,15910,0,0,0,0,0
300,1000,1000,3925955,3027,0,0,0,0,0
300,1000,1000,3980591,3346,0,0,0,0,0
300,1000,1000,3974808,3142,0,0,0,0,0
300,1000,1000,3906060,3196,0,0,0,0,0
300,1000,1000,3961044,3639,0,0,0,0,0
300,1000,1000,4090329,3264,0,0,0,0,0
300,1000,1000,3956244,3012,0,0,0,0,0
300,1000,1000,4006224,3476,0,0,0,0,0
320,1000,1000,4140131,2977,0,0,0,0,0
320,1000,1000,4149487,3508,0,0,0,0,0
320,1000,1000,4101596,3462,0,0,0,0,0
320,1000,1000,4109712,3065,0,0,0,0,0
320,1000,1000,4224442,3047,0,0,0,0,0
320,1000,1000,4092409,3654,0,0,0,0,0
320,1000,1000,4091665,3089,0,0,0,0,0
320,1000,1000,4135703,3520,0,0,0,0,0
320,1000,1000,4141446,2946,0,0,0,0,0
320,1000,1000,4117693,3354,0,0,0,0,0
320,1000,1000,4194007,3383,0,0,0,0,0
320,1000,1000,4097389,3270,0,0,0,0,0
320,1000,1000,4187146,3229,0,0,0,0,0
320,1000,1000,4182426,4305,0,0,0,0,0
320,1000,1000,4122319,3188,0,0,0,0,0
320,1000,1000,4139461,3036,0,0,0,0,0
320,1000,1000,4154283,3675,0,0,0,0,0
320,1000,1000,4178032,3426,0,0,0,0,0
320,1000,1000,4080333,3101,0,0,0,0,0
320,1000,1000,4075441,2996,0,0,0,0,0
340,1000,1000,4296322,3229,0,0,0,0,0
340,1000,1000,4396051,3605,0,0,0,0,0
340,1000,1000,4316533,3770,0,0,0,0,0
340,1000,1000,4333366,3321,0,0,0,0,0
340,1000,1000,4246062,3244,0,0,0,0,0
340,1000,1000,4258309,3190,0,0,0,0,0
340,1000,1000,4285145,3906,0,0,0,0,0
340,1000,1000,4333967,3691,0,0,0,0,0
340,1000,1000,4357508,3291,0,0,0,0,0
340,1000,1000,4359005,3697,0,0,0,0,0
340,1000,1000,4334219,3585,0,0,0,0,0
340,1000,1000,4305047,3237,0,0,0,0,0
340,1000,1000,4319049,3023,0,0,0,0,0
340,1000,1000,4277408,3871,0,0,0,0,0
340,1000,1000,4325010,3339,0,0,0,0,0
340,1000,1000,4282096,3291,0,0,0,0,0
340,1000,1000,4267072,3365,0,0,0,0,0
340,1000,1000,4301425,3200,0,0,0,0,0
340,1000,1000,4404206,3356,0,0,0,0,0
340,1000,1000,4329366,3243,0,0,0,0,0
360,1000,1000,4401662,3566,0,0,0,0,0
360,1000,1000,4380308,3364,0,0,0,0,0
360,1000,1000,4335022,3156,0,0,0,0,0
360,1000,1000,4328197,3388,0,0,0,0,0
360,1000,1000,4366259,3384,0,0,0,0,0
360,1000,1000,4342036,3530,0,0,0,0,0
360,1000,1000,4428746,3305,0,0,0,0,0
360,1000,1000,4536376,4109,0,0,0,0,0
360,1000,1000,4369950,3138,0,0,0,0,0
360,1000,1000,4410221,3451,0,0,0,0,0
360,1000,1000,4407384,3454,0,0,0,0,0
360,1000,1000,4430266,3230,0,0,0,0,0
360,1000,1000,4383049,3022,0,0,0,0,0
360,1000,1000,4386171,3478,0,0,0,0,0
360,1000,1000,4365871,3038,0,0,0,0,0
360,1000,1000,4383475,3157,0,0,0,0,0
360,1000,1000,4341007,3075,0,0,0,0,0
360,1000,1000,4391345,4667,0,0,0,0,0
360,1000,1000,4370716,3152,0,0,0,0,0
360,1000,1000,4383010,3282,0,0,0,0,0
380,1000,1000,4708399,3304,0,0,0,0,0
380,1000,1000,4642584,3443,0,0,0,0,0
380,1000,1000,4626740,3368,0,0,0,0,0
380,1000,1000,4650121,2973,0,0,0,0,0
380,1000,1000,4675120,3603,0,0,0,0,0
380,1000,1000,4723871,3169,0,0,0,0,0
380,1000,1000,4585113,3272,0,0,0,0,0
380,1000,1000,4547946,3379,0,0,0,0,0
380,1000,1000,4549093,3486,0,0,0,0,0
380,1000,1000,4576165,3775,0,0,0,0,0
380,1000,1000,4625305,3770,0,0,0,0,0
380,1000,1000,4637953,3739,0,0,0,0,0
380,1000,1000,4594368,3179,0,0,0,0,0
380,1000,1000,4615181,3883,0,0,0,0,0
380,1000,1000,4573240,3670,0,0,0,0,0
380,1000,1000,4762038,3329,0,0,0,0,0
380,1000,1000,4602427,3224,0,0,0,0,0
380,1000,1000,4571204,3601,0,0,0,0,0
380,1000,1000,4567687,3277,0,0,0,0,0
380,1000,1000,4554470,3792,0,0,0,0,0
400,1000,1000,4685906,2961,0,0,0,0,0
400,1000,1000,4677288,3078,0,0,0,0,0
400,1000,1000,4687638,3752,0,0,0,0,0
400,1000,1000,4784698,3120,0,0,0,0,0
400,1000,1000,4737946,3325,0,0,0,0,0
400,1000,1000,4696225,3200,0,0,0,0,0
400,1000,1000,4697462,3264,0,0,0,0,0
400,1000,1000,4815807,3633,0,0,0,0,0
400,1000,1000,4713447,3187,0,0,0,0,0
400,1000,1000,4769105,3225,0,0,0,0,0
400,1000,1000,4758569,3677,0,0,0,0,0
400,1000,1000,4768999,3521,0,0,0,0,0
400,1000,1000,4681844,3286,0,0,0,0,0
400,1000,1000,4696073,3681,0,0,0,0,0
400,1000,1000,4714915,3022,0,0,0,0,0
400,1000,1000,4751907,3591,0,0,0,0,0
400,1000,1000,4657054,4276,0,0,0,0,0
400,1000,1000,4752802,3740,0,0,0,0,0
400,1000,1000,4750317,3444,0,0,0,0,0
400,1000,1000,4844201,3476,0,0,0,0,0
420,1000,1000,4936271,3519,0,0,0,0,0
420,1000,1000,5009662,3161,0,0,0,0,0
420,1000,1000,4894840,4068,0,0,0,0,0
420,1000,1000,4991759,3866,0,0,0,0,0
420,1000,1000,4997421,3136,0,0,0,0,0
420,1000,1000,5058706,3663,0,0,0,0,0
420,1000,1000,4911067,3363,0,0,0,0,0
420,1000,1000,4980740,3936,0,0,0,0,0
420,1000,1000,4979646,3239,0,0,0,0,0
420,1000,1000,4989679,3477,0,0,0,0,0
420,1000,1000,5081275,3815,0,0,0,0,0
420,1000,1000,4965553,3527,0,0,0,0,0
420,1000,1000,4941134,3978,0,0,0,0,0
420,1000,1000,4981344,3458,0,0,0,0,0
420,1000,1000,4990888,3367,0,0,0,0,0
420,1000,1000,4931153,3880,0,0,0,0,0
420,1000,1000,5077001,3416,0,0,0,0,0
420,1000,1000,4927489,3726,0,0,0,0,0
420,1000,1000,5021613,3026,0,0,0,0,0
420,1000,1000,5024527,3714,0,0,0,0,0
440,1000,1000,5023216,3201,0,0,0,0,0
440,1000,1000,5233914,3351,0,0,0,0,0
440,1000,1000,5044606,3729,0,0,0,0,0
440,1000,1000,5024633,3688,0,0,0,0,0
440,1000,1000,5064119,3676,0,0,0,0,0
440,1000,1000,5154436,3736,0,0,0,0,0
440,1000,1000,5053594,3322,0,0,0,0,0
440,1000,1000,5039750,3606,0,0,0,0,0
440,1000,1000,5133643,3345,0,0,0,0,0
440,1000,1000,5101881,3539,0,0,0,0,0
440,1000,1000,5059887,3334,0,0,0,0,0
440,1000,1000,5061541,3276,0,0,0,0,0
440,1000,1000,5068950,4407,0,0,0,0,0
440,1000,1000,5043956,3393,0,0,0,0,0
440,1000,1000,5105928,4027,0,0,0,0,0
440,1000,1000,5024842,3464,0,0,0,0,0
