Pallet: "pallet_vesting", Extrinsic: "vest_locked", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
l,s,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
2,28,29088,1380,0,0,0,0,0
2,28,32055,1427,0,0,0,0,0
2,28,29530,1433,0,0,0,0,0
2,28,29163,1392,0,0,0,0,0
3,28,31231,1521,0,0,0,0,0
3,28,29367,1528,0,0,0,0,0
3,28,29535,1377,0,0,0,0,0
3,28,29072,1443,0,0,0,0,0
3,28,28920,1424,0,0,0,0,0
3,28,29765,1388,0,0,0,0,0
3,28,29143,1455,0,0,0,0,0
3,28,29774,1447,0,0,0,0,0
3,28,29250,1466,0,0,0,0,0
3,28,29953,1447,0,0,0,0,0
3,28,29240,1428,0,0,0,0,0
3,28,28908,1402,0,0,0,0,0
3,28,30016,1410,0,0,0,0,0
3,28,29294,1420,0,0,0,0,0
3,28,29516,1455,0,0,0,0,0
3,28,28975,1430,0,0,0,0,0
3,28,29271,1400,0,0,0,0,0
3,28,31997,1504,0,0,0,0,0
3,28,29665,1542,0,0,0,0,0
3,28,29248,1494,0,0,0,0,0
4,28,31118,1578,0,0,0,0,0
4,28,29970,1444,0,0,0,0,0
4,28,29976,1469,0,0,0,0,0
4,28,29032,1422,0,0,0,0,0
4,28,29499,1442,0,0,0,0,0
4,28,29603,1450,0,0,0,0,0
4,28,29383,1395,0,0,0,0,0
4,28,29857,1469,0,0,0,0,0
4,28,29481,1414,0,0,0,0,0
4,28,29509,1467,0,0,0,0,0
4,28,28984,1447,0,0,0,0,0
4,28,29122,1407,0,0,0,0,0
4,28,30489,1450,0,0,0,0,0
4,28,29526,1415,0,0,0,0,0
4,28,29724,1398,0,0,0,0,0
4,28,29851,1405,0,0,0,0,0
4,28,29685,1389,0,0,0,0,0
4,28,32537,1502,0,0,0,0,0
4,28,30230,1480,0,0,0,0,0
4,28,29883,1404,0,0,0,0,0
5,28,31540,1531,0,0,0,0,0
5,28,30291,1483,0,0,0,0,0
5,28,29672,1469,0,0,0,0,0
5,28,29514,1439,0,0,0,0,0
5,28,29205,1442,0,0,0,0,0
5,28,29102,1429,0,0,0,0,0
5,28,29385,1544,0,0,0,0,0
5,28,29771,1488,0,0,0,0,0
5,28,29843,1436,0,0,0,0,0
5,28,29979,1409,0,0,0,0,0
5,28,29232,1391,0,0,0,0,0
5,28,29362,1420,0,0,0,0,0
5,28,29867,1455,0,0,0,0,0
5,28,29584,1416,0,0,0,0,0
5,28,29236,1421,0,0,0,0,0
5,28,30056,1418,0,0,0,0,0
5,28,29316,1414,0,0,0,0,0
5,28,32699,1504,0,0,0,0,0
5,28,29681,1394,0,0,0,0,0
5,28,29714,1393,0,0,0,0,0
6,28,31730,1558,0,0,0,0,0
6,28,30285,1389,0,0,0,0,0
6,28,29706,1409,0,0,0,0,0
6,28,29761,1412,0,0,0,0,0
6,28,29539,1445,0,0,0,0,0
6,28,30090,1451,0,0,0,0,0
6,28,30168,1446,0,0,0,0,0
6,28,30014,1464,0,0,0,0,0
6,28,29714,1440,0,0,0,0,0
6,28,29667,1461,0,0,0,0,0
6,28,29369,1349,0,0,0,0,0
6,28,30390,1462,0,0,0,0,0
6,28,29834,1379,0,0,0,0,0
6,28,29340,1446,0,0,0,0,0
6,28,29766,1438,0,0,0,0,0
6,28,29989,1406,0,0,0,0,0
6,28,30006,1451,0,0,0,0,0
6,28,32514,1420,0,0,0,0,0
6,28,29749,1393,0,0,0,0,0
6,28,29754,1423,0,0,0,0,0
7,28,31537,1517,0,0,0,0,0
7,28,30504,1424,0,0,0,0,0
7,28,30242,1435,0,0,0,0,0
7,28,29742,1437,0,0,0,0,0
7,28,30021,1420,0,0,0,0,0
7,28,30663,1446,0,0,0,0,0
7,28,29906,1399,0,0,0,0,0
7,28,29813,1318,0,0,0,0,0
7,28,29877,1413,0,0,0,0,0
7,28,30131,1418,0,0,0,0,0
7,28,30389,1447,0,0,0,0,0
7,28,30327,1425,0,0,0,0,0
7,28,29848,1420,0,0,0,0,0
7,28,29762,1308,0,0,0,0,0
7,28,29831,1445,0,0,0,0,0
7,28,30175,1440,0,0,0,0,0
7,28,29842,1375,0,0,0,0,0
7,28,32987,1446,0,0,0,0,0
7,28,30228,1362,0,0,0,0,0
7,28,30301,1397,0,0,0,0,0
8,28,31216,1554,0,0,0,0,0
8,28,30350,1443,0,0,0,0,0
8,28,29784,1364,0,0,0,0,0
8,28,29824,1429,0,0,0,0,0
8,28,29959,1441,0,0,0,0,0
8,28,29858,1409,0,0,0,0,0
8,28,29975,1374,0,0,0,0,0
8,28,29754,1423,0,0,0,0,0
8,28,30008,1455,0,0,0,0,0
8,28,29949,1420,0,0,0,0,0
8,28,29903,1432,0,0,0,0,0
8,28,30211,1427,0,0,0,0,0
8,28,29754,1445,0,0,0,0,0
8,28,33249,1446,0,0,0,0,0
8,28,29805,1403,0,0,0,0,0
8,28,29583,1395,0,0,0,0,0
8,28,29817,1375,0,0,0,0,0
8,28,33225,1487,0,0,0,0,0
8,28,30030,1411,0,0,0,0,0
8,28,29622,1413,0,0,0,0,0
9,28,31396,1508,0,0,0,0,0
9,28,29999,1507,0,0,0,0,0
9,28,29572,1399,0,0,0,0,0
9,28,29663,1431,0,0,0,0,0
9,28,29536,1446,0,0,0,0,0
9,28,29484,1366,0,0,0,0,0
9,28,29333,1560,0,0,0,0,0
9,28,29735,1360,0,0,0,0,0
9,28,28936,1386,0,0,0,0,0
9,28,29643,1453,0,0,0,0,0
9,28,30025,1410,0,0,0,0,0
9,28,29522,1375,0,0,0,0,0
9,28,29558,1455,0,0,0,0,0
9,28,29458,1426,0,0,0,0,0
9,28,29404,1403,0,0,0,0,0
9,28,30065,1382,0,0,0,0,0
9,28,29933,1373,0,0,0,0,0
9,28,32252,1422,0,0,0,0,0
9,28,29593,1447,0,0,0,0,0
9,28,29646,1446,0,0,0,0,0
10,28,31688,1544,0,0,0,0,0
10,28,29805,1451,0,0,0,0,0
10,28,30146,1420,0,0,0,0,0
10,28,29867,1469,0,0,0,0,0
10,28,29840,1492,0,0,0,0,0
10,28,29904,1392,0,0,0,0,0
10,28,30071,1411,0,0,0,0,0
10,28,30226,1430,0,0,0,0,0
10,28,29889,1456,0,0,0,0,0
10,28,30340,1543,0,0,0,0,0
10,28,30352,1474,0,0,0,0,0
10,28,29804,1355,0,0,0,0,0
10,28,29791,1398,0,0,0,0,0
10,28,30409,1453,0,0,0,0,0
10,28,43038,1500,0,0,0,0,0
10,28,30029,1390,0,0,0,0,0
10,28,30010,1406,0,0,0,0,0
10,28,32899,1401,0,0,0,0,0
10,28,30357,1407,0,0,0,0,0
10,28,29745,1540,0,0,0,0,0
11,28,31374,1521,0,0,0,0,0
11,28,29884,1463,0,0,0,0,0
11,28,29734,1475,0,0,0,0,0
11,28,29581,1440,0,0,0,0,0
11,28,29398,1434,0,0,0,0,0
11,28,29594,1404,0,0,0,0,0
11,28,29708,1430,0,0,0,0,0
11,28,29836,1485,0,0,0,0,0
11,28,30119,1410,0,0,0,0,0
11,28,29772,1435,0,0,0,0,0
11,28,29683,1425,0,0,0,0,0
11,28,29446,1440,0,0,0,0,0
11,28,30174,1429,0,0,0,0,0
11,28,30343,1421,0,0,0,0,0
11,28,30034,1459,0,0,0,0,0
11,28,29659,1417,0,0,0,0,0
11,28,29393,1479,0,0,0,0,0
11,28,33072,1444,0,0,0,0,0
11,28,30261,1423,0,0,0,0,0
11,28,29805,1419,0,0,0,0,0
12,28,31872,1529,0,0,0,0,0
12,28,30468,1496,0,0,0,0,0
12,28,29992,1403,0,0,0,0,0
12,28,30179,1381,0,0,0,0,0
12,28,30389,1424,0,0,0,0,0
12,28,29963,1414,0,0,0,0,0
12,28,30093,1430,0,0,0,0,0
12,28,30378,1404,0,0,0,0,0
12,28,30293,1349,0,0,0,0,0
12,28,30092,1448,0,0,0,0,0
12,28,30161,1311,0,0,0,0,0
12,28,30667,1476,0,0,0,0,0
12,28,30187,1443,0,0,0,0,0
12,28,29893,1437,0,0,0,0,0
12,28,30129,1356,0,0,0,0,0
12,28,30091,1396,0,0,0,0,0
12,28,30143,1427,0,0,0,0,0
12,28,33037,1459,0,0,0,0,0
12,28,30082,1344,0,0,0,0,0
12,28,30240,1443,0,0,0,0,0
13,28,37428,1563,0,0,0,0,0
13,28,30415,1512,0,0,0,0,0
13,28,31038,1429,0,0,0,0,0
13,28,30199,1352,0,0,0,0,0
13,28,30250,1432,0,0,0,0,0
13,28,57940,1480,0,0,0,0,0
13,28,29934,1417,0,0,0,0,0
13,28,30101,1409,0,0,0,0,0
13,28,30550,1429,0,0,0,0,0
13,28,30528,1434,0,0,0,0,0
13,28,30220,1407,0,0,0,0,0
13,28,30849,1334,0,0,0,0,0
13,28,30073,1398,0,0,0,0,0
13,28,30190,1388,0,0,0,0,0
13,28,29937,1399,0,0,0,0,0
13,28,30560,1474,0,0,0,0,0
13,28,29975,1440,0,0,0,0,0
13,28,33130,1461,0,0,0,0,0
13,28,30382,1385,0,0,0,0,0
13,28,30218,1403,0,0,0,0,0
14,28,31657,1450,0,0,0,0,0
14,28,30213,1314,0,0,0,0,0
14,28,30329,1399,0,0,0,0,0
14,28,29946,1319,0,0,0,0,0
14,28,30016,1311,0,0,0,0,0
14,28,29829,1314,0,0,0,0,0
14,28,29809,1305,0,0,0,0,0
14,28,29935,1349,0,0,0,0,0
14,28,30012,1354,0,0,0,0,0
14,28,30221,1335,0,0,0,0,0
14,28,30315,1300,0,0,0,0,0
14,28,29718,1312,0,0,0,0,0
14,28,29840,1336,0,0,0,0,0
14,28,30204,1352,0,0,0,0,0
14,28,30143,1394,0,0,0,0,0
14,28,29838,1340,0,0,0,0,0
14,28,29738,1363,0,0,0,0,0
14,28,33505,1493,0,0,0,0,0
14,28,30300,1359,0,0,0,0,0
14,28,30042,1320,0,0,0,0,0
15,28,31741,1581,0,0,0,0,0
15,28,30336,1439,0,0,0,0,0
15,28,30017,1486,0,0,0,0,0
15,28,30274,1469,0,0,0,0,0
15,28,29688,1454,0,0,0,0,0
15,28,30093,1478,0,0,0,0,0
15,28,29751,1431,0,0,0,0,0
15,28,29959,1463,0,0,0,0,0
15,28,30590,1430,0,0,0,0,0
15,28,30460,1452,0,0,0,0,0
15,28,30158,1452,0,0,0,0,0
15,28,30078,1473,0,0,0,0,0
15,28,29733,1452,0,0,0,0,0
15,28,30669,1447,0,0,0,0,0
15,28,30421,1405,0,0,0,0,0
15,28,30166,1425,0,0,0,0,0
15,28,30246,1411,0,0,0,0,0
15,28,32993,1468,0,0,0,0,0
15,28,30472,1498,0,0,0,0,0
15,28,30105,1410,0,0,0,0,0
16,28,32144,1525,0,0,0,0,0
16,28,30377,1475,0,0,0,0,0
16,28,30277,1397,0,0,0,0,0
16,28,30382,1436,0,0,0,0,0
16,28,30492,1497,0,0,0,0,0
16,28,30601,1427,0,0,0,0,0
16,28,30137,1447,0,0,0,0,0
16,28,30364,1461,0,0,0,0,0
16,28,29981,1457,0,0,0,0,0
16,28,30781,1526,0,0,0,0,0
16,28,30646,1396,0,0,0,0,0
16,28,30378,1429,0,0,0,0,0
16,28,30197,1436,0,0,0,0,0
16,28,43764,1459,0,0,0,0,0
16,28,30580,1407,0,0,0,0,0
16,28,30726,1444,0,0,0,0,0
16,28,30422,1482,0,0,0,0,0
16,28,33420,1437,0,0,0,0,0
16,28,30764,1486,0,0,0,0,0
16,28,30924,1421,0,0,0,0,0
17,28,31721,1562,0,0,0,0,0
17,28,30457,1467,0,0,0,0,0
17,28,30718,1432,0,0,0,0,0
17,28,30424,1436,0,0,0,0,0
17,28,30671,1428,0,0,0,0,0
17,28,30122,1454,0,0,0,0,0
17,28,30309,1438,0,0,0,0,0
17,28,29667,1455,0,0,0,0,0
17,28,30515,1418,0,0,0,0,0
17,28,30338,1446,0,0,0,0,0
17,28,29838,1456,0,0,0,0,0
17,28,30465,1438,0,0,0,0,0
17,28,30375,1432,0,0,0,0,0
17,28,30681,1389,0,0,0,0,0
17,28,29672,1420,0,0,0,0,0
17,28,30339,1406,0,0,0,0,0
17,28,30495,1428,0,0,0,0,0
17,28,33823,1394,0,0,0,0,0
17,28,30562,1383,0,0,0,0,0
17,28,30199,1400,0,0,0,0,0
18,28,31820,1527,0,0,0,0,0
18,28,30319,1431,0,0,0,0,0
18,28,30134,1450,0,0,0,0,0
18,28,30667,1445,0,0,0,0,0
18,28,30893,1373,0,0,0,0,0
18,28,30117,1396,0,0,0,0,0
18,28,29886,1425,0,0,0,0,0
18,28,29969,1429,0,0,0,0,0
18,28,30035,1368,0,0,0,0,0
18,28,30240,1499,0,0,0,0,0
18,28,30741,1432,0,0,0,0,0
18,28,30776,1501,0,0,0,0,0
18,28,31597,1417,0,0,0,0,0
18,28,31108,1506,0,0,0,0,0
18,28,30444,1511,0,0,0,0,0
18,28,30692,1467,0,0,0,0,0
18,28,31419,1465,0,0,0,0,0
18,28,33735,1474,0,0,0,0,0
18,28,43059,1412,0,0,0,0,0
18,28,30144,1390,0,0,0,0,0
19,28,32679,1520,0,0,0,0,0
19,28,30436,1466,0,0,0,0,0
19,28,30345,1403,0,0,0,0,0
19,28,29926,1401,0,0,0,0,0
19,28,30292,1445,0,0,0,0,0
19,28,30431,1390,0,0,0,0,0
19,28,30444,1394,0,0,0,0,0
19,28,30238,1460,0,0,0,0,0
19,28,30697,1425,0,0,0,0,0
19,28,30504,1429,0,0,0,0,0
19,28,30305,1377,0,0,0,0,0
19,28,30871,1472,0,0,0,0,0
19,28,30305,1391,0,0,0,0,0
19,28,30973,1468,0,0,0,0,0
19,28,30548,1394,0,0,0,0,0
19,28,30545,1386,0,0,0,0,0
19,28,30479,1373,0,0,0,0,0
19,28,33411,1448,0,0,0,0,0
19,28,30691,1503,0,0,0,0,0
19,28,30475,1403,0,0,0,0,0
20,28,31724,1570,0,0,0,0,0
20,28,30544,1435,0,0,0,0,0
20,28,30811,1456,0,0,0,0,0
20,28,31483,1513,0,0,0,0,0
20,28,30605,1470,0,0,0,0,0
20,28,32523,1408,0,0,0,0,0
20,28,30821,1426,0,0,0,0,0
20,28,30317,1474,0,0,0,0,0
20,28,30913,1465,0,0,0,0,0
20,28,30626,1436,0,0,0,0,0
20,28,31098,1412,0,0,0,0,0
20,28,30703,1404,0,0,0,0,0
20,28,30089,1411,0,0,0,0,0
20,28,30767,1519,0,0,0,0,0
20,28,30682,1438,0,0,0,0,0
20,28,30296,1397,0,0,0,0,0
20,28,30365,1463,0,0,0,0,0
20,28,33719,1508,0,0,0,0,0
20,28,30371,1463,0,0,0,0,0
20,28,30293,1456,0,0,0,0,0
21,28,32842,1562,0,0,0,0,0
21,28,31131,1472,0,0,0,0,0
21,28,31006,1485,0,0,0,0,0
21,28,30461,1465,0,0,0,0,0
21,28,30906,1479,0,0,0,0,0
21,28,31170,1429,0,0,0,0,0
21,28,30873,1390,0,0,0,0,0
21,28,31089,1452,0,0,0,0,0
21,28,31004,1426,0,0,0,0,0
21,28,30609,1465,0,0,0,0,0
21,28,30773,1394,0,0,0,0,0
21,28,30571,1419,0,0,0,0,0
21,28,30151,1407,0,0,0,0,0
21,28,31240,1458,0,0,0,0,0
21,28,30764,1445,0,0,0,0,0
21,28,30787,1464,0,0,0,0,0
21,28,31396,1413,0,0,0,0,0
21,28,33889,1463,0,0,0,0,0
21,28,30732,1494,0,0,0,0,0
21,28,30555,1433,0,0,0,0,0
22,28,31751,1575,0,0,0,0,0
22,28,30747,1460,0,0,0,0,0
22,28,30706,1462,0,0,0,0,0
22,28,31139,1466,0,0,0,0,0
22,28,31030,1446,0,0,0,0,0
22,28,30982,1471,0,0,0,0,0
22,28,30353,1433,0,0,0,0,0
22,28,30209,1405,0,0,0,0,0
22,28,30353,1384,0,0,0,0,0
22,28,30800,1449,0,0,0,0,0
22,28,30733,1429,0,0,0,0,0
22,28,30508,1395,0,0,0,0,0
22,28,30426,1392,0,0,0,0,0
22,28,30160,1403,0,0,0,0,0
22,28,30638,1493,0,0,0,0,0
22,28,30919,1505,0,0,0,0,0
22,28,30659,1426,0,0,0,0,0
22,28,33755,1446,0,0,0,0,0
22,28,30501,1384,0,0,0,0,0
22,28,30891,1482,0,0,0,0,0
23,28,32325,1534,0,0,0,0,0
23,28,30686,1472,0,0,0,0,0
23,28,30617,1434,0,0,0,0,0
23,28,31716,1494,0,0,0,0,0
23,28,45752,1454,0,0,0,0,0
23,28,30766,1443,0,0,0,0,0
23,28,30760,1429,0,0,0,0,0
23,28,30566,1456,0,0,0,0,0
23,28,30744,1412,0,0,0,0,0
23,28,30921,1462,0,0,0,0,0
23,28,30700,1419,0,0,0,0,0
23,28,30456,1437,0,0,0,0,0
23,28,44420,1476,0,0,0,0,0
23,28,30684,1422,0,0,0,0,0
23,28,30801,1412,0,0,0,0,0
23,28,30497,1481,0,0,0,0,0
23,28,30508,1402,0,0,0,0,0
23,28,33823,1422,0,0,0,0,0
23,28,30360,1370,0,0,0,0,0
23,28,30823,1421,0,0,0,0,0
24,28,32688,1541,0,0,0,0,0
24,28,30802,1409,0,0,0,0,0
24,28,30749,1393,0,0,0,0,0
24,28,30964,1387,0,0,0,0,0
24,28,30336,1388,0,0,0,0,0
24,28,30886,1405,0,0,0,0,0
24,28,30952,1378,0,0,0,0,0
24,28,30917,1421,0,0,0,0,0
24,28,30310,1379,0,0,0,0,0
24,28,31322,1428,0,0,0,0,0
24,28,44028,1411,0,0,0,0,0
24,28,30481,1324,0,0,0,0,0
24,28,30651,1327,0,0,0,0,0
24,28,30976,1382,0,0,0,0,0
24,28,30660,1328,0,0,0,0,0
24,28,31247,1369,0,0,0,0,0
24,28,30792,1386,0,0,0,0,0
24,28,33853,1387,0,0,0,0,0
24,28,30784,1411,0,0,0,0,0
24,28,35731,1438,0,0,0,0,0
25,28,32085,1612,0,0,0,0,0
25,28,31717,1472,0,0,0,0,0
25,28,30979,1387,0,0,0,0,0
25,28,31226,1564,0,0,0,0,0
25,28,30883,1465,0,0,0,0,0
25,28,30665,1440,0,0,0,0,0
25,28,30959,1470,0,0,0,0,0
25,28,30489,1392,0,0,0,0,0
25,28,30773,1410,0,0,0,0,0
25,28,30869,1437,0,0,0,0,0
25,28,30621,1398,0,0,0,0,0
25,28,30776,1408,0,0,0,0,0
25,28,33617,1479,0,0,0,0,0
25,28,30723,1406,0,0,0,0,0
25,28,30829,1403,0,0,0,0,0
25,28,31153,1418,0,0,0,0,0
25,28,30676,1417,0,0,0,0,0
25,28,34011,1440,0,0,0,0,0
25,28,30944,1463,0,0,0,0,0
25,28,30700,1404,0,0,0,0,0
26,28,32186,1632,0,0,0,0,0
26,28,30889,1533,0,0,0,0,0
26,28,30872,1453,0,0,0,0,0
26,28,30768,1457,0,0,0,0,0
26,28,30968,1458,0,0,0,0,0
26,28,30970,1476,0,0,0,0,0
26,28,30645,1382,0,0,0,0,0
26,28,30640,1439,0,0,0,0,0
26,28,30416,1431,0,0,0,0,0
26,28,30591,1500,0,0,0,0,0
26,28,30731,1447,0,0,0,0,0
26,28,31128,1450,0,0,0,0,0
26,28,30833,1415,0,0,0,0,0
26,28,30952,1462,0,0,0,0,0
26,28,31287,1507,0,0,0,0,0
26,28,30563,1451,0,0,0,0,0
26,28,30907,1440,0,0,0,0,0
26,28,33390,1456,0,0,0,0,0
26,28,31146,1437,0,0,0,0,0
26,28,31074,1470,0,0,0,0,0
27,28,31932,1607,0,0,0,0,0
27,28,30886,1505,0,0,0,0,0
27,28,30511,1530,0,0,0,0,0
27,28,30354,1471,0,0,0,0,0
27,28,30787,1381,0,0,0,0,0
27,28,30155,1456,0,0,0,0,0
27,28,30828,1434,0,0,0,0,0
27,28,31084,1433,0,0,0,0,0
27,28,30486,1424,0,0,0,0,0
27,28,31354,1456,0,0,0,0,0
27,28,30466,1450,0,0,0,0,0
27,28,31371,1473,0,0,0,0,0
27,28,30777,1400,0,0,0,0,0
27,28,31231,1415,0,0,0,0,0
27,28,31389,1403,0,0,0,0,0
27,28,30636,1485,0,0,0,0,0
27,28,31062,1472,0,0,0,0,0
27,28,33499,1506,0,0,0,0,0
27,28,30497,1441,0,0,0,0,0
27,28,30608,1419,0,0,0,0,0
28,28,32401,1614,0,0,0,0,0
28,28,31119,1504,0,0,0,0,0
28,28,30961,1457,0,0,0,0,0
28,28,31330,1508,0,0,0,0,0
28,28,31142,1459,0,0,0,0,0
28,28,30929,1482,0,0,0,0,0
28,28,30887,1427,0,0,0,0,0
28,28,31366,1469,0,0,0,0,0
28,28,31034,1511,0,0,0,0,0
28,28,30579,1535,0,0,0,0,0
28,28,30854,1450,0,0,0,0,0
28,28,31023,1454,0,0,0,0,0
28,28,34304,1474,0,0,0,0,0
28,28,31420,1447,0,0,0,0,0
28,28,31193,1437,0,0,0,0,0
28,28,31059,1447,0,0,0,0,0
28,28,30625,1411,0,0,0,0,0
28,28,33995,1423,0,0,0,0,0
28,28,30952,1422,0,0,0,0,0
28,28,31263,1479,0,0,0,0,0
29,28,32298,1530,0,0,0,0,0
29,28,30743,1456,0,0,0,0,0
29,28,31288,1379,0,0,0,0,0
29,28,30787,1377,0,0,0,0,0
29,28,30666,4924,0,0,0,0,0
29,28,31146,1441,0,0,0,0,0
29,28,30362,1407,0,0,0,0,0
29,28,31095,1394,0,0,0,0,0
29,28,31075,1460,0,0,0,0,0
29,28,31142,1388,0,0,0,0,0
29,28,30912,1396,0,0,0,0,0
29,28,31112,1399,0,0,0,0,0
29,28,30718,1441,0,0,0,0,0
29,28,31152,1505,0,0,0,0,0
29,28,30758,1390,0,0,0,0,0
29,28,31225,1361,0,0,0,0,0
29,28,31020,1413,0,0,0,0,0
29,28,34066,1410,0,0,0,0,0
29,28,31398,1465,0,0,0,0,0
29,28,31225,1368,0,0,0,0,0
30,28,32946,1573,0,0,0,0,0
30,28,31274,1521,0,0,0,0,0
30,28,31163,1515,0,0,0,0,0
30,28,31505,1459,0,0,0,0,0
30,28,31301,1452,0,0,0,0,0
30,28,31188,1480,0,0,0,0,0
30,28,43995,1456,0,0,0,0,0
30,28,31444,1473,0,0,0,0,0
30,28,30955,1456,0,0,0,0,0
30,28,31508,1487,0,0,0,0,0
30,28,30706,1474,0,0,0,0,0
30,28,30893,1443,0,0,0,0,0
30,28,31079,1479,0,0,0,0,0
30,28,57158,1549,0,0,0,0,0
30,28,31465,1441,0,0,0,0,0
30,28,30976,1387,0,0,0,0,0
30,28,31270,1410,0,0,0,0,0
30,28,33420,1414,0,0,0,0,0
30,28,31104,1403,0,0,0,0,0
30,28,30732,1406,0,0,0,0,0
31,28,32569,1550,0,0,0,0,0
31,28,31112,1499,0,0,0,0,0
31,28,31388,1391,0,0,0,0,0
31,28,30943,1425,0,0,0,0,0
31,28,30882,1407,0,0,0,0,0
31,28,31320,1475,0,0,0,0,0
31,28,30796,1423,0,0,0,0,0
31,28,31476,1475,0,0,0,0,0
31,28,30772,1407,0,0,0,0,0
31,28,31001,1505,0,0,0,0,0
31,28,30838,1426,0,0,0,0,0
31,28,30886,1437,0,0,0,0,0
31,28,30455,1415,0,0,0,0,0
31,28,31117,14138,0,0,0,0,0
31,28,31258,1439,0,0,0,0,0
31,28,31026,1387,0,0,0,0,0
31,28,31206,1499,0,0,0,0,0
31,28,34122,1429,0,0,0,0,0
31,28,31087,1408,0,0,0,0,0
31,28,30749,1442,0,0,0,0,0
32,28,66688,1510,0,0,0,0,0
32,28,31390,1392,0,0,0,0,0
32,28,31276,1442,0,0,0,0,0
32,28,30747,1379,0,0,0,0,0
32,28,31246,1374,0,0,0,0,0
32,28,31278,1391,0,0,0,0,0
32,28,30905,1380,0,0,0,0,0
32,28,31002,1406,0,0,0,0,0
32,28,30601,1381,0,0,0,0,0
32,28,31716,1515,0,0,0,0,0
32,28,30903,1448,0,0,0,0,0
32,28,30920,1390,0,0,0,0,0
32,28,30775,1361,0,0,0,0,0
32,28,31075,1462,0,0,0,0,0
32,28,30764,1398,0,0,0,0,0
32,28,30934,1443,0,0,0,0,0
32,28,30811,1385,0,0,0,0,0
32,28,38776,1479,0,0,0,0,0
32,28,45656,1483,0,0,0,0,0
32,28,30976,1442,0,0,0,0,0
33,28,33065,1554,0,0,0,0,0
33,28,31139,1448,0,0,0,0,0
33,28,30939,1390,0,0,0,0,0
33,28,31023,1377,0,0,0,0,0
33,28,31535,1414,0,0,0,0,0
33,28,30699,1374,0,0,0,0,0
33,28,30977,1464,0,0,0,0,0
33,28,31340,1397,0,0,0,0,0
33,28,30980,1428,0,0,0,0,0
33,28,31179,1449,0,0,0,0,0
33,28,30950,1442,0,0,0,0,0
33,28,31246,1449,0,0,0,0,0
33,28,30757,1439,0,0,0,0,0
33,28,31239,1395,0,0,0,0,0
33,28,31442,1436,0,0,0,0,0
33,28,30938,1415,0,0,0,0,0
33,28,30569,1388,0,0,0,0,0
33,28,34353,1474,0,0,0,0,0
33,28,31388,1478,0,0,0,0,0
33,28,30823,1489,0,0,0,0,0
34,28,32581,1486,0,0,0,0,0
34,28,31615,1466,0,0,0,0,0
34,28,30981,1443,0,0,0,0,0
34,28,31156,1465,0,0,0,0,0
34,28,30936,1428,0,0,0,0,0
34,28,31114,1421,0,0,0,0,0
34,28,31451,1420,0,0,0,0,0
34,28,44017,1407,0,0,0,0,0
