Pallet: "pallet_multisig", Extrinsic: "as_multi_threshold_1", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
z,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
1200,17255,1141,0,0,0,0,0
1200,17381,1198,0,0,0,0,0
1200,17231,1117,0,0,0,0,0
1200,17297,1181,0,0,0,0,0
1200,17648,1134,0,0,0,0,0
1200,17447,1183,0,0,0,0,0
1200,17260,1206,0,0,0,0,0
1200,17321,1234,0,0,0,0,0
1400,19440,1318,0,0,0,0,0
1400,17249,1198,0,0,0,0,0
1400,17468,1154,0,0,0,0,0
1400,17308,1131,0,0,0,0,0
1400,17265,1197,0,0,0,0,0
1400,17325,1114,0,0,0,0,0
1400,17143,1182,0,0,0,0,0
1400,17326,1126,0,0,0,0,0
1400,17280,1128,0,0,0,0,0
1400,17236,1167,0,0,0,0,0
1400,17530,1175,0,0,0,0,0
1400,17219,1236,0,0,0,0,0
1400,17271,1171,0,0,0,0,0
1400,17286,1161,0,0,0,0,0
1400,17437,1170,0,0,0,0,0
1400,17417,1280,0,0,0,0,0
1400,17419,1177,0,0,0,0,0
1400,17159,1293,0,0,0,0,0
1400,17288,1134,0,0,0,0,0
1400,17420,1136,0,0,0,0,0
1600,19396,1318,0,0,0,0,0
1600,16835,1118,0,0,0,0,0
1600,17209,1143,0,0,0,0,0
1600,17343,1143,0,0,0,0,0
1600,17555,1214,0,0,0,0,0
1600,17712,1291,0,0,0,0,0
1600,17498,1178,0,0,0,0,0
1600,17543,1130,0,0,0,0,0
1600,17562,1242,0,0,0,0,0
1600,17380,1152,0,0,0,0,0
1600,17749,1198,0,0,0,0,0
1600,17969,1214,0,0,0,0,0
1600,17361,1213,0,0,0,0,0
1600,17489,1190,0,0,0,0,0
1600,17712,1213,0,0,0,0,0
1600,17358,1144,0,0,0,0,0
1600,17738,1182,0,0,0,0,0
1600,17622,1144,0,0,0,0,0
1600,17507,1103,0,0,0,0,0
1600,17438,1259,0,0,0,0,0
1800,19703,1314,0,0,0,0,0
1800,17500,1192,0,0,0,0,0
1800,17619,1133,0,0,0,0,0
1800,17683,1170,0,0,0,0,0
1800,17882,1143,0,0,0,0,0
1800,17611,1083,0,0,0,0,0
1800,17891,1232,0,0,0,0,0
1800,17452,1116,0,0,0,0,0
1800,17862,1169,0,0,0,0,0
1800,41571,1223,0,0,0,0,0
1800,17655,1144,0,0,0,0,0
1800,17741,1153,0,0,0,0,0
1800,17727,1117,0,0,0,0,0
1800,17640,1188,0,0,0,0,0
1800,17564,1206,0,0,0,0,0
1800,17704,1097,0,0,0,0,0
1800,17876,1197,0,0,0,0,0
1800,17738,1239,0,0,0,0,0
1800,17695,1146,0,0,0,0,0
1800,17702,1201,0,0,0,0,0
2000,19774,1390,0,0,0,0,0
2000,17802,1193,0,0,0,0,0
2000,17881,1127,0,0,0,0,0
2000,17803,1184,0,0,0,0,0
2000,17783,1143,0,0,0,0,0
2000,17836,1196,0,0,0,0,0
2000,17637,1152,0,0,0,0,0
2000,17412,1160,0,0,0,0,0
2000,17491,1116,0,0,0,0,0
2000,17830,1207,0,0,0,0,0
2000,17961,1195,0,0,0,0,0
2000,17662,1105,0,0,0,0,0
2000,17853,1152,0,0,0,0,0
2000,17572,1146,0,0,0,0,0
2000,17769,1113,0,0,0,0,0
2000,17511,1165,0,0,0,0,0
2000,17837,1205,0,0,0,0,0
2000,17600,1167,0,0,0,0,0
2000,17694,1138,0,0,0,0,0
2000,17739,1169,0,0,0,0,0
2200,19771,1346,0,0,0,0,0
2200,17903,1136,0,0,0,0,0
2200,17736,1178,0,0,0,0,0
2200,17839,1223,0,0,0,0,0
2200,17905,1209,0,0,0,0,0
2200,17781,1169,0,0,0,0,0
2200,17738,1222,0,0,0,0,0
2200,17675,1141,0,0,0,0,0
2200,17877,1170,0,0,0,0,0
2200,17734,1279,0,0,0,0,0
2200,17772,1194,0,0,0,0,0
2200,17555,1207,0,0,0,0,0
2200,17732,1200,0,0,0,0,0
2200,17784,1166,0,0,0,0,0
2200,17468,1135,0,0,0,0,0
2200,17773,1099,0,0,0,0,0
2200,17675,1198,0,0,0,0,0
2200,20182,1176,0,0,0,0,0
2200,17756,1146,0,0,0,0,0
2200,17742,1125,0,0,0,0,0
2400,20290,1295,0,0,0,0,0
2400,17745,1219,0,0,0,0,0
2400,17940,1203,0,0,0,0,0
2400,17761,1255,0,0,0,0,0
2400,17774,1186,0,0,0,0,0
2400,17860,1152,0,0,0,0,0
2400,18029,1159,0,0,0,0,0
2400,17975,1136,0,0,0,0,0
2400,17725,1094,0,0,0,0,0
2400,17742,1304,0,0,0,0,0
2400,17748,1148,0,0,0,0,0
2400,17655,1152,0,0,0,0,0
2400,17787,1196,0,0,0,0,0
2400,17923,1155,0,0,0,0,0
2400,18019,1176,0,0,0,0,0
2400,17980,1123,0,0,0,0,0
2400,17807,1192,0,0,0,0,0
2400,17932,1162,0,0,0,0,0
2400,17642,1195,0,0,0,0,0
2400,17762,1303,0,0,0,0,0
2600,19983,1258,0,0,0,0,0
2600,18037,1211,0,0,0,0,0
2600,18022,1136,0,0,0,0,0
2600,17906,1191,0,0,0,0,0
2600,18118,1148,0,0,0,0,0
2600,18112,1176,0,0,0,0,0
2600,18193,1179,0,0,0,0,0
2600,17882,1174,0,0,0,0,0
2600,18283,1223,0,0,0,0,0
2600,18238,1209,0,0,0,0,0
2600,17765,1151,0,0,0,0,0
2600,18000,1152,0,0,0,0,0
2600,18090,1157,0,0,0,0,0
2600,18003,1132,0,0,0,0,0
2600,18317,1228,0,0,0,0,0
2600,18372,1163,0,0,0,0,0
2600,18163,1142,0,0,0,0,0
2600,18067,1159,0,0,0,0,0
2600,18371,1135,0,0,0,0,0
2600,17935,1149,0,0,0,0,0
2800,20681,1300,0,0,0,0,0
2800,18499,1252,0,0,0,0,0
2800,17990,1157,0,0,0,0,0
2800,18370,1160,0,0,0,0,0
2800,18271,1152,0,0,0,0,0
2800,18298,1176,0,0,0,0,0
2800,18171,1162,0,0,0,0,0
2800,18240,1128,0,0,0,0,0
2800,18305,1175,0,0,0,0,0
2800,18379,1110,0,0,0,0,0
2800,18392,1252,0,0,0,0,0
2800,18324,1160,0,0,0,0,0
2800,18334,1136,0,0,0,0,0
2800,18322,1144,0,0,0,0,0
2800,18239,1181,0,0,0,0,0
2800,18099,1186,0,0,0,0,0
2800,18382,1215,0,0,0,0,0
2800,18253,1117,0,0,0,0,0
2800,18080,1102,0,0,0,0,0
2800,17998,1047,0,0,0,0,0
3000,20306,1345,0,0,0,0,0
3000,18269,1147,0,0,0,0,0
3000,18209,1214,0,0,0,0,0
3000,18247,1154,0,0,0,0,0
3000,18416,1161,0,0,0,0,0
3000,18153,1106,0,0,0,0,0
3000,17938,1205,0,0,0,0,0
3000,18074,1120,0,0,0,0,0
3000,18107,1133,0,0,0,0,0
3000,18043,1260,0,0,0,0,0
3000,18053,1131,0,0,0,0,0
3000,18202,1185,0,0,0,0,0
3000,18158,1170,0,0,0,0,0
3000,18236,1161,0,0,0,0,0
3000,18334,1191,0,0,0,0,0
3000,18856,1182,0,0,0,0,0
3000,18953,1156,0,0,0,0,0
3000,19072,1326,0,0,0,0,0
3000,18431,1114,0,0,0,0,0
3000,18249,1189,0,0,0,0,0
3200,20361,1375,0,0,0,0,0
3200,18652,1118,0,0,0,0,0
3200,18529,1085,0,0,0,0,0
3200,18316,1098,0,0,0,0,0
3200,18482,1166,0,0,0,0,0
3200,18116,1182,0,0,0,0,0
3200,18511,1147,0,0,0,0,0
3200,18183,1191,0,0,0,0,0
3200,18516,1202,0,0,0,0,0
3200,18057,1143,0,0,0,0,0
3200,18399,1172,0,0,0,0,0
3200,18201,1196,0,0,0,0,0
3200,18121,1134,0,0,0,0,0
3200,17971,1160,0,0,0,0,0
3200,18328,1172,0,0,0,0,0
3200,18407,1133,0,0,0,0,0
3200,18260,1105,0,0,0,0,0
3200,18289,1207,0,0,0,0,0
3200,18403,1178,0,0,0,0,0
3200,18286,1160,0,0,0,0,0
3400,20583,1242,0,0,0,0,0
3400,18536,1130,0,0,0,0,0
3400,18258,1116,0,0,0,0,0
3400,18364,1141,0,0,0,0,0
3400,18418,1199,0,0,0,0,0
3400,18568,1177,0,0,0,0,0
3400,18312,1197,0,0,0,0,0
3400,18356,1138,0,0,0,0,0
3400,18347,1181,0,0,0,0,0
3400,18301,1155,0,0,0,0,0
3400,18366,1142,0,0,0,0,0
3400,18259,1183,0,0,0,0,0
3400,18195,1150,0,0,0,0,0
3400,18461,1165,0,0,0,0,0
3400,18343,1218,0,0,0,0,0
3400,18596,1166,0,0,0,0,0
3400,18277,1172,0,0,0,0,0
3400,18372,1150,0,0,0,0,0
3400,18483,1137,0,0,0,0,0
3400,18428,1131,0,0,0,0,0
3600,21069,1293,0,0,0,0,0
3600,18293,1133,0,0,0,0,0
3600,18238,1160,0,0,0,0,0
3600,18202,1149,0,0,0,0,0
3600,18362,1250,0,0,0,0,0
3600,18504,1179,0,0,0,0,0
3600,18668,1244,0,0,0,0,0
3600,18435,1168,0,0,0,0,0
3600,18558,1162,0,0,0,0,0
3600,18392,1141,0,0,0,0,0
3600,19094,1328,0,0,0,0,0
3600,18360,1141,0,0,0,0,0
3600,18365,1213,0,0,0,0,0
3600,18566,1272,0,0,0,0,0
3600,18516,1157,0,0,0,0,0
3600,18204,1206,0,0,0,0,0
3600,18466,1201,0,0,0,0,0
3600,18300,1137,0,0,0,0,0
3600,18386,1159,0,0,0,0,0
3600,18491,1217,0,0,0,0,0
3800,21398,1376,0,0,0,0,0
3800,18743,1164,0,0,0,0,0
3800,18703,1147,0,0,0,0,0
3800,18865,1214,0,0,0,0,0
3800,18809,1186,0,0,0,0,0
3800,18631,1178,0,0,0,0,0
3800,18222,1262,0,0,0,0,0
3800,18588,1189,0,0,0,0,0
3800,18552,1151,0,0,0,0,0
3800,18498,1154,0,0,0,0,0
3800,18372,1257,0,0,0,0,0
3800,18798,1153,0,0,0,0,0
3800,31784,1221,0,0,0,0,0
3800,18701,1183,0,0,0,0,0
3800,18936,1216,0,0,0,0,0
3800,18727,1195,0,0,0,0,0
3800,18829,1156,0,0,0,0,0
3800,18703,1150,0,0,0,0,0
3800,18844,1208,0,0,0,0,0
3800,18778,1302,0,0,0,0,0
4000,21347,1433,0,0,0,0,0
4000,18549,1220,0,0,0,0,0
4000,18519,1184,0,0,0,0,0
4000,18574,1140,0,0,0,0,0
4000,18596,1184,0,0,0,0,0
4000,19008,1212,0,0,0,0,0
4000,18661,1143,0,0,0,0,0
4000,18854,1137,0,0,0,0,0
4000,18829,1154,0,0,0,0,0
4000,18890,1229,0,0,0,0,0
4000,18836,1158,0,0,0,0,0
4000,18928,1186,0,0,0,0,0
4000,18839,1162,0,0,0,0,0
4000,18847,1165,0,0,0,0,0
4000,18885,1140,0,0,0,0,0
4000,18852,1279,0,0,0,0,0
4000,18774,1135,0,0,0,0,0
4000,18701,1158,0,0,0,0,0
4000,18635,1212,0,0,0,0,0
4000,18592,1190,0,0,0,0,0
4200,22474,1265,0,0,0,0,0
4200,19121,1109,0,0,0,0,0
4200,19058,1211,0,0,0,0,0
4200,18849,1092,0,0,0,0,0
4200,18539,1124,0,0,0,0,0
4200,18917,1165,0,0,0,0,0
4200,18835,1183,0,0,0,0,0
4200,18906,1113,0,0,0,0,0
4200,19021,1198,0,0,0,0,0
4200,18635,1157,0,0,0,0,0
4200,18687,1148,0,0,0,0,0
4200,18639,1127,0,0,0,0,0
4200,19156,1126,0,0,0,0,0
4200,19045,1119,0,0,0,0,0
4200,18714,1181,0,0,0,0,0
4200,18842,1182,0,0,0,0,0
4200,18460,1158,0,0,0,0,0
4200,19025,1129,0,0,0,0,0
4200,18980,1229,0,0,0,0,0
4200,18866,1174,0,0,0,0,0
4400,22193,1253,0,0,0,0,0
4400,19171,1238,0,0,0,0,0
4400,19428,1144,0,0,0,0,0
4400,18950,1206,0,0,0,0,0
4400,19019,1176,0,0,0,0,0
4400,18919,1202,0,0,0,0,0
4400,19043,1121,0,0,0,0,0
4400,18825,1201,0,0,0,0,0
4400,19200,1179,0,0,0,0,0
4400,18780,1201,0,0,0,0,0
4400,18996,1181,0,0,0,0,0
4400,19061,1185,0,0,0,0,0
4400,18896,1279,0,0,0,0,0
4400,19151,1156,0,0,0,0,0
4400,39325,13909,0,0,0,0,0
4400,18843,1132,0,0,0,0,0
4400,19086,1173,0,0,0,0,0
4400,19111,1180,0,0,0,0,0
4400,18937,1181,0,0,0,0,0
4400,31613,1201,0,0,0,0,0
4600,22123,1295,0,0,0,0,0
4600,19281,1192,0,0,0,0,0
4600,19028,1189,0,0,0,0,0
4600,18996,1214,0,0,0,0,0
4600,18918,1141,0,0,0,0,0
4600,19008,1181,0,0,0,0,0
4600,19002,1148,0,0,0,0,0
4600,19078,1150,0,0,0,0,0
4600,18988,1183,0,0,0,0,0
4600,19328,1146,0,0,0,0,0
4600,18906,1179,0,0,0,0,0
4600,19115,1197,0,0,0,0,0
4600,19114,1179,0,0,0,0,0
4600,19080,1131,0,0,0,0,0
4600,18991,1207,0,0,0,0,0
4600,19098,1202,0,0,0,0,0
4600,19159,1213,0,0,0,0,0
4600,19213,1233,0,0,0,0,0
4600,19004,1187,0,0,0,0,0
4600,19100,1176,0,0,0,0,0
4800,22451,1236,0,0,0,0,0
4800,19166,1170,0,0,0,0,0
4800,19065,1198,0,0,0,0,0
4800,19310,1140,0,0,0,0,0
4800,19290,1167,0,0,0,0,0
4800,19305,1107,0,0,0,0,0
4800,19241,1130,0,0,0,0,0
4800,19318,1183,0,0,0,0,0
4800,19155,1121,0,0,0,0,0
4800,19506,1181,0,0,0,0,0
4800,19325,1187,0,0,0,0,0
4800,19276,1138,0,0,0,0,0
4800,19003,1150,0,0,0,0,0
4800,19229,1172,0,0,0,0,0
4800,19099,1189,0,0,0,0,0
4800,19084,1140,0,0,0,0,0
4800,19148,1099,0,0,0,0,0
4800,19189,1202,0,0,0,0,0
4800,19017,1197,0,0,0,0,0
4800,19188,1164,0,0,0,0,0
5000,22468,1367,0,0,0,0,0
5000,19303,1170,0,0,0,0,0
5000,19381,1174,0,0,0,0,0
5000,19252,1215,0,0,0,0,0
5000,19406,1213,0,0,0,0,0
5000,19232,1256,0,0,0,0,0
5000,19356,1210,0,0,0,0,0
5000,19165,1261,0,0,0,0,0
5000,19146,1213,0,0,0,0,0
5000,19112,1194,0,0,0,0,0
5000,19350,1135,0,0,0,0,0
5000,19444,1175,0,0,0,0,0
5000,19147,1182,0,0,0,0,0
5000,19260,1199,0,0,0,0,0
5000,19396,1224,0,0,0,0,0
5000,19141,1263,0,0,0,0,0
5000,19051,1175,0,0,0,0,0
5000,19029,1225,0,0,0,0,0
5000,19039,1230,0,0,0,0,0
5000,19340,1215,0,0,0,0,0
5200,22713,1254,0,0,0,0,0
5200,19309,1256,0,0,0,0,0
5200,19266,1108,0,0,0,0,0
5200,19325,1194,0,0,0,0,0
5200,19086,1141,0,0,0,0,0
5200,19181,1104,0,0,0,0,0
5200,19264,1212,0,0,0,0,0
5200,19508,1200,0,0,0,0,0
5200,19352,1169,0,0,0,0,0
5200,19580,1163,0,0,0,0,0
5200,19271,1171,0,0,0,0,0
5200,19609,1112,0,0,0,0,0
5200,19333,1173,0,0,0,0,0
5200,19263,1192,0,0,0,0,0
5200,19246,1145,0,0,0,0,0
5200,19551,1098,0,0,0,0,0
5200,19413,1216,0,0,0,0,0
5200,19524,1112,0,0,0,0,0
5200,19321,1141,0,0,0,0,0
5200,19174,1301,0,0,0,0,0
5400,22701,1419,0,0,0,0,0
5400,19576,1140,0,0,0,0,0
5400,19481,1206,0,0,0,0,0
5400,19627,1165,0,0,0,0,0
5400,19555,1139,0,0,0,0,0
5400,19740,1158,0,0,0,0,0
5400,19844,1171,0,0,0,0,0
5400,19568,1174,0,0,0,0,0
5400,19666,1219,0,0,0,0,0
5400,19596,1178,0,0,0,0,0
5400,19793,1148,0,0,0,0,0
5400,19603,1200,0,0,0,0,0
5400,32519,1207,0,0,0,0,0
5400,19644,1186,0,0,0,0,0
5400,19442,1152,0,0,0,0,0
5400,19467,1228,0,0,0,0,0
5400,19967,1217,0,0,0,0,0
5400,19651,1142,0,0,0,0,0
5400,19687,1236,0,0,0,0,0
5400,19480,1166,0,0,0,0,0
5600,23441,1244,0,0,0,0,0
5600,19598,1138,0,0,0,0,0
5600,19527,1191,0,0,0,0,0
5600,19427,1231,0,0,0,0,0
5600,19525,1212,0,0,0,0,0
5600,19615,1263,0,0,0,0,0
5600,19532,1212,0,0,0,0,0
5600,19660,1145,0,0,0,0,0
5600,19517,1166,0,0,0,0,0
5600,19622,1180,0,0,0,0,0
5600,19429,1169,0,0,0,0,0
5600,19671,1207,0,0,0,0,0
5600,19739,1213,0,0,0,0,0
5600,19489,1189,0,0,0,0,0
5600,19581,1167,0,0,0,0,0
5600,19795,1165,0,0,0,0,0
5600,19380,1183,0,0,0,0,0
5600,19323,1287,0,0,0,0,0
5600,19358,1216,0,0,0,0,0
5600,19282,1209,0,0,0,0,0
5800,23637,1367,0,0,0,0,0
5800,19469,1146,0,0,0,0,0
5800,19627,1161,0,0,0,0,0
5800,19622,1197,0,0,0,0,0
5800,19587,1162,0,0,0,0,0
5800,19628,1211,0,0,0,0,0
5800,19701,1166,0,0,0,0,0
5800,19457,1144,0,0,0,0,0
5800,19768,1199,0,0,0,0,0
5800,19350,1177,0,0,0,0,0
5800,19627,1131,0,0,0,0,0
5800,19855,1141,0,0,0,0,0
5800,19901,1247,0,0,0,0,0
5800,19804,1166,0,0,0,0,0
5800,19510,1169,0,0,0,0,0
5800,19924,1215,0,0,0,0,0
5800,19372,1163,0,0,0,0,0
5800,19439,1137,0,0,0,0,0
5800,19720,1252,0,0,0,0,0
5800,19680,1121,0,0,0,0,0
6000,23634,1341,0,0,0,0,0
6000,19715,1227,0,0,0,0,0
6000,19610,1173,0,0,0,0,0
6000,19659,1149,0,0,0,0,0
6000,19974,1187,0,0,0,0,0
6000,19883,1143,0,0,0,0,0
6000,19731,1197,0,0,0,0,0
6000,19948,1146,0,0,0,0,0
6000,19801,1199,0,0,0,0,0
6000,19859,1246,0,0,0,0,0
6000,19821,1154,0,0,0,0,0
6000,19718,1145,0,0,0,0,0
6000,20002,1183,0,0,0,0,0
6000,19862,1189,0,0,0,0,0
6000,19705,1122,0,0,0,0,0
6000,19750,1214,0,0,0,0,0
6000,19884,1157,0,0,0,0,0
6000,19871,1207,0,0,0,0,0
6000,20051,1195,0,0,0,0,0
6000,19805,1248,0,0,0,0,0
6200,24335,1373,0,0,0,0,0
6200,20138,1175,0,0,0,0,0
6200,20365,1226,0,0,0,0,0
6200,19842,1201,0,0,0,0,0
6200,20043,1151,0,0,0,0,0
6200,19740,1150,0,0,0,0,0
6200,19843,1149,0,0,0,0,0
6200,19921,1218,0,0,0,0,0
6200,19623,1181,0,0,0,0,0
6200,19785,1168,0,0,0,0,0
6200,19976,1179,0,0,0,0,0
6200,19888,1157,0,0,0,0,0
6200,20440,1189,0,0,0,0,0
6200,20196,1192,0,0,0,0,0
6200,19805,1116,0,0,0,0,0
6200,20002,1149,0,0,0,0,0
6200,19847,1186,0,0,0,0,0
6200,19861,1236,0,0,0,0,0
6200,20031,1148,0,0,0,0,0
6200,19888,1191,0,0,0,0,0
6400,24488,1340,0,0,0,0,0
6400,20162,1126,0,0,0,0,0
6400,20105,1167,0,0,0,0,0
6400,19911,1177,0,0,0,0,0
6400,19987,1181,0,0,0,0,0
6400,19905,1128,0,0,0,0,0
6400,20090,1247,0,0,0,0,0
6400,20001,1164,0,0,0,0,0
6400,20096,1236,0,0,0,0,0
6400,20018,1137,0,0,0,0,0
6400,20000,1174,0,0,0,0,0
6400,19955,1213,0,0,0,0,0
6400,19956,1189,0,0,0,0,0
6400,19960,1201,0,0,0,0,0
6400,19984,1153,0,0,0,0,0
6400,19936,1248,0,0,0,0,0
6400,21758,1826,0,0,0,0,0
6400,20136,1235,0,0,0,0,0
6400,19664,1120,0,0,0,0,0
6400,20060,1245,0,0,0,0,0
6600,24181,1339,0,0,0,0,0
6600,20137,1135,0,0,0,0,0
6600,20242,1277,0,0,0,0,0
6600,20104,1226,0,0,0,0,0
6600,20067,1140,0,0,0,0,0
6600,20196,1146,0,0,0,0,0
6600,20149,1131,0,0,0,0,0
6600,20293,1176,0,0,0,0,0
6600,20390,1189,0,0,0,0,0
6600,20322,1212,0,0,0,0,0
6600,20259,1158,0,0,0,0,0
6600,20380,1090,0,0,0,0,0
6600,20212,1203,0,0,0,0,0
6600,20208,1218,0,0,0,0,0
6600,20400,1119,0,0,0,0,0
6600,20334,1250,0,0,0,0,0
6600,20344,1209,0,0,0,0,0
6600,20124,1147,0,0,0,0,0
6600,20270,1127,0,0,0,0,0
6600,20467,1133,0,0,0,0,0
6800,24251,1293,0,0,0,0,0
6800,20242,1170,0,0,0,0,0
6800,20138,1222,0,0,0,0,0
6800,20479,1184,0,0,0,0,0
6800,20490,1115,0,0,0,0,0
6800,20285,1185,0,0,0,0,0
6800,20310,1879,0,0,0,0,0
6800,20332,1149,0,0,0,0,0
6800,20434,1143,0,0,0,0,0
6800,20567,1196,0,0,0,0,0
6800,20332,1156,0,0,0,0,0
6800,20603,1183,0,0,0,0,0
6800,20173,1239,0,0,0,0,0
6800,20058,1097,0,0,0,0,0
6800,20793,1173,0,0,0,0,0
6800,20346,1199,0,0,0,0,0
6800,20409,1170,0,0,0,0,0
6800,20745,1151,0,0,0,0,0
6800,20474,1268,0,0,0,0,0
6800,20250,1146,0,0,0,0,0
7000,24743,1408,0,0,0,0,0
7000,20680,1222,0,0,0,0,0
7000,20399,1139,0,0,0,0,0
7000,20347,1137,0,0,0,0,0
7000,20513,1175,0,0,0,0,0
7000,20323,1149,0,0,0,0,0
7000,20298,1087,0,0,0,0,0
7000,20705,1107,0,0,0,0,0
7000,20323,1193,0,0,0,0,0
7000,20536,1181,0,0,0,0,0
7000,20607,1198,0,0,0,0,0
7000,20562,1170,0,0,0,0,0
7000,20531,1165,0,0,0,0,0
7000,20287,1142,0,0,0,0,0
7000,20465,1209,0,0,0,0,0
7000,20629,1185,0,0,0,0,0
7000,20530,1161,0,0,0,0,0
7000,20322,1124,0,0,0,0,0
7000,20530,1275,0,0,0,0,0
7000,20403,1201,0,0,0,0,0
7200,25081,1249,0,0,0,0,0
7200,20814,1194,0,0,0,0,0
7200,20439,1263,0,0,0,0,0
7200,20753,1190,0,0,0,0,0
7200,20806,1232,0,0,0,0,0
7200,20602,1195,0,0,0,0,0
7200,20678,1121,0,0,0,0,0
7200,20571,1181,0,0,0,0,0
7200,20556,1156,0,0,0,0,0
7200,20736,1225,0,0,0,0,0
