Pallet: "pallet_membership", Extrinsic: "add_member", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
m,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
7,15050,1344,0,0,0,0,0
7,14914,1232,0,0,0,0,0
7,14910,1302,0,0,0,0,0
7,15190,1284,0,0,0,0,0
7,15314,1335,0,0,0,0,0
7,14906,1297,0,0,0,0,0
7,15036,1317,0,0,0,0,0
7,14768,1251,0,0,0,0,0
7,14796,1304,0,0,0,0,0
7,14784,1276,0,0,0,0,0
7,15154,1391,0,0,0,0,0
7,14756,1322,0,0,0,0,0
7,14845,1312,0,0,0,0,0
7,15024,1290,0,0,0,0,0
7,15025,1325,0,0,0,0,0
7,15055,1260,0,0,0,0,0
7,15026,1294,0,0,0,0,0
8,17547,1521,0,0,0,0,0
8,15866,1430,0,0,0,0,0
8,15621,1341,0,0,0,0,0
8,15377,1414,0,0,0,0,0
8,15313,1319,0,0,0,0,0
8,15281,1314,0,0,0,0,0
8,15323,1376,0,0,0,0,0
8,15049,1356,0,0,0,0,0
8,15684,1317,0,0,0,0,0
8,15355,1320,0,0,0,0,0
8,15371,1377,0,0,0,0,0
8,15268,1351,0,0,0,0,0
8,15439,1366,0,0,0,0,0
8,15044,1342,0,0,0,0,0
8,15182,1345,0,0,0,0,0
8,15110,1405,0,0,0,0,0
8,15209,1345,0,0,0,0,0
8,15275,1309,0,0,0,0,0
8,15221,1276,0,0,0,0,0
8,15014,1291,0,0,0,0,0
9,17610,1565,0,0,0,0,0
9,15971,1436,0,0,0,0,0
9,15864,1406,0,0,0,0,0
9,15759,1390,0,0,0,0,0
9,15778,1383,0,0,0,0,0
9,15641,1515,0,0,0,0,0
9,15970,1417,0,0,0,0,0
9,15730,1384,0,0,0,0,0
9,15490,1376,0,0,0,0,0
9,15666,1376,0,0,0,0,0
9,15544,1347,0,0,0,0,0
9,15296,1360,0,0,0,0,0
9,15570,1300,0,0,0,0,0
9,15548,1315,0,0,0,0,0
9,15425,1334,0,0,0,0,0
9,15530,1358,0,0,0,0,0
9,15427,1317,0,0,0,0,0
9,15433,1382,0,0,0,0,0
9,15340,1400,0,0,0,0,0
9,15554,1372,0,0,0,0,0
10,17272,1484,0,0,0,0,0
10,15656,1359,0,0,0,0,0
10,15477,1355,0,0,0,0,0
10,15385,1342,0,0,0,0,0
10,15102,1388,0,0,0,0,0
10,15388,1399,0,0,0,0,0
10,15351,1392,0,0,0,0,0
10,15372,1385,0,0,0,0,0
10,15741,1366,0,0,0,0,0
10,15280,1355,0,0,0,0,0
10,15272,1362,0,0,0,0,0
10,15179,1330,0,0,0,0,0
10,15254,1347,0,0,0,0,0
10,15094,1339,0,0,0,0,0
10,15156,1371,0,0,0,0,0
10,15201,1352,0,0,0,0,0
10,15275,1302,0,0,0,0,0
10,15194,1300,0,0,0,0,0
10,15077,2157,0,0,0,0,0
10,15557,1376,0,0,0,0,0
11,17653,1547,0,0,0,0,0
11,16214,1298,0,0,0,0,0
11,16075,1341,0,0,0,0,0
11,15941,1334,0,0,0,0,0
11,15994,1347,0,0,0,0,0
11,15874,1331,0,0,0,0,0
11,15895,1311,0,0,0,0,0
11,15944,1281,0,0,0,0,0
11,15912,1326,0,0,0,0,0
11,15775,1373,0,0,0,0,0
11,16096,1296,0,0,0,0,0
11,15802,1335,0,0,0,0,0
11,16004,1409,0,0,0,0,0
11,15663,1324,0,0,0,0,0
11,15743,1344,0,0,0,0,0
11,16036,1353,0,0,0,0,0
11,15917,1342,0,0,0,0,0
11,15772,1338,0,0,0,0,0
11,15562,1358,0,0,0,0,0
11,15694,1292,0,0,0,0,0
12,17794,1527,0,0,0,0,0
12,16086,1426,0,0,0,0,0
12,15893,1346,0,0,0,0,0
12,15700,1336,0,0,0,0,0
12,15809,1346,0,0,0,0,0
12,15754,1367,0,0,0,0,0
12,15893,1328,0,0,0,0,0
12,15538,1311,0,0,0,0,0
12,16014,1341,0,0,0,0,0
12,15782,1498,0,0,0,0,0
12,15959,1374,0,0,0,0,0
12,15722,1358,0,0,0,0,0
12,15551,1393,0,0,0,0,0
12,15449,1356,0,0,0,0,0
12,15798,1388,0,0,0,0,0
12,15403,1389,0,0,0,0,0
12,15871,1356,0,0,0,0,0
12,15747,1364,0,0,0,0,0
12,15844,1399,0,0,0,0,0
12,15755,1340,0,0,0,0,0
13,20705,1623,0,0,0,0,0
13,17255,1480,0,0,0,0,0
13,16300,1366,0,0,0,0,0
13,16570,1433,0,0,0,0,0
13,17566,1424,0,0,0,0,0
13,15972,1423,0,0,0,0,0
13,16159,1373,0,0,0,0,0
13,16499,2135,0,0,0,0,0
13,18309,1356,0,0,0,0,0
13,16081,1387,0,0,0,0,0
13,16481,1445,0,0,0,0,0
13,16100,1351,0,0,0,0,0
13,18370,1342,0,0,0,0,0
13,15939,1382,0,0,0,0,0
13,16165,1409,0,0,0,0,0
13,17782,1352,0,0,0,0,0
13,15636,1384,0,0,0,0,0
13,15987,1391,0,0,0,0,0
13,16128,1347,0,0,0,0,0
13,18327,1289,0,0,0,0,0
14,17999,1536,0,0,0,0,0
14,16363,1337,0,0,0,0,0
14,16332,1363,0,0,0,0,0
14,16134,1327,0,0,0,0,0
14,16042,1297,0,0,0,0,0
14,15839,1303,0,0,0,0,0
14,15771,1338,0,0,0,0,0
14,15806,1353,0,0,0,0,0
14,15916,1383,0,0,0,0,0
14,15829,1365,0,0,0,0,0
14,15799,1347,0,0,0,0,0
14,16468,1389,0,0,0,0,0
14,15954,1327,0,0,0,0,0
14,15936,1302,0,0,0,0,0
14,15813,1307,0,0,0,0,0
14,15969,1297,0,0,0,0,0
14,16099,1326,0,0,0,0,0
14,16085,1338,0,0,0,0,0
14,16049,1303,0,0,0,0,0
14,15682,1270,0,0,0,0,0
15,17689,1551,0,0,0,0,0
15,15937,1372,0,0,0,0,0
15,15759,1368,0,0,0,0,0
15,15825,1319,0,0,0,0,0
15,15508,1404,0,0,0,0,0
15,15579,1366,0,0,0,0,0
15,15566,1358,0,0,0,0,0
15,15761,1346,0,0,0,0,0
15,15554,1341,0,0,0,0,0
15,15529,1353,0,0,0,0,0
15,15641,1343,0,0,0,0,0
15,15596,1278,0,0,0,0,0
15,15691,1307,0,0,0,0,0
15,15884,1311,0,0,0,0,0
15,15665,1359,0,0,0,0,0
15,16075,1338,0,0,0,0,0
15,15926,1365,0,0,0,0,0
15,16123,1424,0,0,0,0,0
15,16251,1348,0,0,0,0,0
15,16179,1336,0,0,0,0,0
16,18273,1527,0,0,0,0,0
16,16538,1324,0,0,0,0,0
16,16128,1369,0,0,0,0,0
16,15969,1361,0,0,0,0,0
16,15830,1351,0,0,0,0,0
16,16170,1339,0,0,0,0,0
16,16284,1334,0,0,0,0,0
16,16184,1304,0,0,0,0,0
16,15839,1334,0,0,0,0,0
16,16215,1349,0,0,0,0,0
16,15962,1302,0,0,0,0,0
16,16118,1336,0,0,0,0,0
16,15854,1334,0,0,0,0,0
16,15814,1361,0,0,0,0,0
16,15596,1305,0,0,0,0,0
16,15951,1330,0,0,0,0,0
16,15838,1301,0,0,0,0,0
16,16053,1306,0,0,0,0,0
16,15995,1322,0,0,0,0,0
16,15955,1286,0,0,0,0,0
17,19662,1565,0,0,0,0,0
17,16869,1368,0,0,0,0,0
17,16123,1316,0,0,0,0,0
17,16492,1322,0,0,0,0,0
17,16168,1267,0,0,0,0,0
17,16146,1318,0,0,0,0,0
17,16032,1255,0,0,0,0,0
17,16080,1315,0,0,0,0,0
17,15738,1269,0,0,0,0,0
17,16102,1331,0,0,0,0,0
17,16271,1326,0,0,0,0,0
17,15926,1299,0,0,0,0,0
17,15794,1312,0,0,0,0,0
17,15821,1358,0,0,0,0,0
17,15927,1357,0,0,0,0,0
17,16036,1324,0,0,0,0,0
17,15687,1245,0,0,0,0,0
17,16040,1341,0,0,0,0,0
17,15777,1340,0,0,0,0,0
17,15793,1315,0,0,0,0,0
18,19387,1487,0,0,0,0,0
18,16062,1365,0,0,0,0,0
18,16407,1391,0,0,0,0,0
18,15991,1390,0,0,0,0,0
18,16317,1348,0,0,0,0,0
18,16020,1311,0,0,0,0,0
18,16289,1282,0,0,0,0,0
18,16311,1359,0,0,0,0,0
18,16114,1341,0,0,0,0,0
18,16059,1403,0,0,0,0,0
18,16128,1351,0,0,0,0,0
18,15896,1389,0,0,0,0,0
18,16096,1334,0,0,0,0,0
18,16197,1329,0,0,0,0,0
18,16327,1365,0,0,0,0,0
18,16254,1338,0,0,0,0,0
18,16297,1325,0,0,0,0,0
18,16055,1393,0,0,0,0,0
18,16189,1358,0,0,0,0,0
18,16419,1356,0,0,0,0,0
19,19168,1473,0,0,0,0,0
19,16629,1277,0,0,0,0,0
19,16381,1360,0,0,0,0,0
19,16267,1304,0,0,0,0,0
19,16327,1334,0,0,0,0,0
19,16624,1315,0,0,0,0,0
19,16247,1362,0,0,0,0,0
19,16222,1312,0,0,0,0,0
19,15886,1302,0,0,0,0,0
19,16091,1343,0,0,0,0,0
19,15993,1329,0,0,0,0,0
19,16049,1319,0,0,0,0,0
19,15830,1341,0,0,0,0,0
19,15899,1294,0,0,0,0,0
19,16392,1403,0,0,0,0,0
19,16210,1333,0,0,0,0,0
19,16251,1315,0,0,0,0,0
19,16078,1301,0,0,0,0,0
19,15991,1421,0,0,0,0,0
19,16436,1308,0,0,0,0,0
20,20139,1521,0,0,0,0,0
20,16853,1434,0,0,0,0,0
20,16247,1341,0,0,0,0,0
20,16198,1381,0,0,0,0,0
20,16331,1395,0,0,0,0,0
20,16299,1381,0,0,0,0,0
20,16357,1405,0,0,0,0,0
20,16316,1356,0,0,0,0,0
20,16467,1336,0,0,0,0,0
20,16217,1374,0,0,0,0,0
20,16242,1354,0,0,0,0,0
20,16044,1311,0,0,0,0,0
20,16207,1325,0,0,0,0,0
20,16085,1341,0,0,0,0,0
20,16646,1350,0,0,0,0,0
20,24663,1506,0,0,0,0,0
20,17045,1429,0,0,0,0,0
20,16481,1376,0,0,0,0,0
20,16847,1376,0,0,0,0,0
20,16260,1350,0,0,0,0,0
21,19676,1479,0,0,0,0,0
21,16806,1324,0,0,0,0,0
21,16424,1276,0,0,0,0,0
21,16427,1304,0,0,0,0,0
21,16433,1341,0,0,0,0,0
21,16510,1336,0,0,0,0,0
21,16241,1307,0,0,0,0,0
21,16280,1317,0,0,0,0,0
21,16214,1288,0,0,0,0,0
21,16233,1264,0,0,0,0,0
21,16292,1314,0,0,0,0,0
21,16120,1282,0,0,0,0,0
21,15714,1284,0,0,0,0,0
21,19507,1335,0,0,0,0,0
21,16360,1336,0,0,0,0,0
21,16178,1267,0,0,0,0,0
21,16384,1231,0,0,0,0,0
21,16316,1260,0,0,0,0,0
21,16174,1357,0,0,0,0,0
21,16246,1234,0,0,0,0,0
22,19715,1462,0,0,0,0,0
22,16723,1309,0,0,0,0,0
22,16464,1281,0,0,0,0,0
22,16750,1281,0,0,0,0,0
22,16209,1261,0,0,0,0,0
22,16262,1300,0,0,0,0,0
22,16068,1307,0,0,0,0,0
22,16480,1278,0,0,0,0,0
22,16397,1308,0,0,0,0,0
22,16066,1320,0,0,0,0,0
22,16350,1322,0,0,0,0,0
22,15989,1279,0,0,0,0,0
22,16191,1325,0,0,0,0,0
22,15802,1239,0,0,0,0,0
22,16725,1368,0,0,0,0,0
22,16367,1304,0,0,0,0,0
22,15972,1248,0,0,0,0,0
22,16144,1313,0,0,0,0,0
22,16003,1336,0,0,0,0,0
22,16369,1380,0,0,0,0,0
23,20319,1546,0,0,0,0,0
23,16987,1410,0,0,0,0,0
23,16966,1373,0,0,0,0,0
23,17001,1377,0,0,0,0,0
23,16553,1334,0,0,0,0,0
23,16635,1381,0,0,0,0,0
23,16697,1388,0,0,0,0,0
23,16619,1353,0,0,0,0,0
23,16762,1372,0,0,0,0,0
23,16936,1330,0,0,0,0,0
23,16745,1357,0,0,0,0,0
23,16610,1378,0,0,0,0,0
23,16780,1314,0,0,0,0,0
23,16674,1310,0,0,0,0,0
23,16589,1334,0,0,0,0,0
23,16872,1337,0,0,0,0,0
23,16830,1353,0,0,0,0,0
23,16400,1296,0,0,0,0,0
23,16555,1324,0,0,0,0,0
23,16673,1311,0,0,0,0,0
24,20890,1556,0,0,0,0,0
24,17341,1356,0,0,0,0,0
24,16686,1315,0,0,0,0,0
24,16697,1314,0,0,0,0,0
24,16765,1372,0,0,0,0,0
24,16469,1334,0,0,0,0,0
24,16709,1363,0,0,0,0,0
24,16471,1417,0,0,0,0,0
24,17036,1334,0,0,0,0,0
24,16777,1330,0,0,0,0,0
24,16487,1365,0,0,0,0,0
24,17005,1347,0,0,0,0,0
24,16324,1300,0,0,0,0,0
24,16872,1348,0,0,0,0,0
24,16776,1280,0,0,0,0,0
24,16582,1290,0,0,0,0,0
24,16709,1318,0,0,0,0,0
24,16498,1297,0,0,0,0,0
24,16665,1315,0,0,0,0,0
24,16726,1348,0,0,0,0,0
25,19463,1466,0,0,0,0,0
25,16699,1294,0,0,0,0,0
25,16575,1305,0,0,0,0,0
25,16312,1316,0,0,0,0,0
25,16413,1287,0,0,0,0,0
25,16406,1276,0,0,0,0,0
25,16501,1263,0,0,0,0,0
25,30608,1342,0,0,0,0,0
25,16122,1319,0,0,0,0,0
25,16273,1266,0,0,0,0,0
25,16424,1289,0,0,0,0,0
25,16214,1273,0,0,0,0,0
25,16169,1271,0,0,0,0,0
25,16214,1255,0,0,0,0,0
25,16333,1232,0,0,0,0,0
25,16048,1289,0,0,0,0,0
25,16112,1291,0,0,0,0,0
25,17569,1265,0,0,0,0,0
25,16488,1256,0,0,0,0,0
25,16222,1268,0,0,0,0,0
26,20155,1476,0,0,0,0,0
26,17096,1382,0,0,0,0,0
26,17002,1252,0,0,0,0,0
26,16835,1333,0,0,0,0,0
26,16821,1321,0,0,0,0,0
26,16864,1309,0,0,0,0,0
26,16712,1355,0,0,0,0,0
26,16808,1327,0,0,0,0,0
26,16728,1368,0,0,0,0,0
26,16674,1374,0,0,0,0,0
26,16759,1359,0,0,0,0,0
26,16689,1343,0,0,0,0,0
26,16649,1340,0,0,0,0,0
26,16925,1310,0,0,0,0,0
26,16746,1970,0,0,0,0,0
26,17222,1364,0,0,0,0,0
26,16849,1334,0,0,0,0,0
26,16713,1315,0,0,0,0,0
26,17043,1320,0,0,0,0,0
26,16910,1317,0,0,0,0,0
27,20128,1494,0,0,0,0,0
27,17143,1289,0,0,0,0,0
27,16795,1283,0,0,0,0,0
27,16924,1378,0,0,0,0,0
27,16752,1354,0,0,0,0,0
27,17030,1361,0,0,0,0,0
27,16689,1354,0,0,0,0,0
27,16767,1335,0,0,0,0,0
27,16596,1330,0,0,0,0,0
27,18167,1427,0,0,0,0,0
27,16843,1346,0,0,0,0,0
27,16541,1420,0,0,0,0,0
27,16544,1290,0,0,0,0,0
27,17197,1295,0,0,0,0,0
27,16711,1273,0,0,0,0,0
27,17066,1235,0,0,0,0,0
27,16529,1317,0,0,0,0,0
27,16610,1267,0,0,0,0,0
27,16485,1295,0,0,0,0,0
27,16556,1346,0,0,0,0,0
28,20170,1515,0,0,0,0,0
28,17120,1396,0,0,0,0,0
28,16878,1369,0,0,0,0,0
28,17027,1388,0,0,0,0,0
28,16640,1346,0,0,0,0,0
28,16737,1351,0,0,0,0,0
28,16636,1324,0,0,0,0,0
28,16732,1321,0,0,0,0,0
28,16825,1297,0,0,0,0,0
28,18103,1410,0,0,0,0,0
28,16687,1340,0,0,0,0,0
28,16509,1332,0,0,0,0,0
28,16759,1311,0,0,0,0,0
28,16705,1321,0,0,0,0,0
28,16899,1355,0,0,0,0,0
28,16585,1368,0,0,0,0,0
28,16499,1270,0,0,0,0,0
28,16378,1300,0,0,0,0,0
28,16993,1305,0,0,0,0,0
28,16479,1347,0,0,0,0,0
29,20159,1525,0,0,0,0,0
29,17282,1386,0,0,0,0,0
29,17061,1337,0,0,0,0,0
29,17018,1401,0,0,0,0,0
29,17241,1350,0,0,0,0,0
29,16840,1379,0,0,0,0,0
29,16838,5813,0,0,0,0,0
29,17302,1437,0,0,0,0,0
29,17174,1402,0,0,0,0,0
29,19106,1362,0,0,0,0,0
29,17018,1372,0,0,0,0,0
29,16954,1375,0,0,0,0,0
29,16770,1351,0,0,0,0,0
29,16734,1347,0,0,0,0,0
29,16676,1377,0,0,0,0,0
29,17029,1401,0,0,0,0,0
29,16666,1369,0,0,0,0,0
29,16936,1379,0,0,0,0,0
29,16875,1401,0,0,0,0,0
29,16917,1318,0,0,0,0,0
30,20329,1454,0,0,0,0,0
30,17655,1284,0,0,0,0,0
30,17407,1340,0,0,0,0,0
30,17159,1247,0,0,0,0,0
30,17274,1364,0,0,0,0,0
30,17266,1368,0,0,0,0,0
30,17058,1312,0,0,0,0,0
30,17358,1315,0,0,0,0,0
30,17077,1323,0,0,0,0,0
30,18986,1327,0,0,0,0,0
30,17523,1322,0,0,0,0,0
30,17112,1375,0,0,0,0,0
30,16997,1323,0,0,0,0,0
30,23357,1438,0,0,0,0,0
30,17048,1305,0,0,0,0,0
30,17066,1359,0,0,0,0,0
30,17012,1349,0,0,0,0,0
30,16912,1341,0,0,0,0,0
30,16891,1303,0,0,0,0,0
30,17222,1367,0,0,0,0,0
31,20510,1513,0,0,0,0,0
31,17596,1335,0,0,0,0,0
31,17330,1284,0,0,0,0,0
31,17377,1338,0,0,0,0,0
31,17100,1347,0,0,0,0,0
31,16878,1311,0,0,0,0,0
31,16950,1305,0,0,0,0,0
31,17085,1307,0,0,0,0,0
31,17082,1303,0,0,0,0,0
31,17093,1249,0,0,0,0,0
31,16637,1255,0,0,0,0,0
31,17346,1323,0,0,0,0,0
31,17073,1275,0,0,0,0,0
31,17130,1265,0,0,0,0,0
31,17181,1274,0,0,0,0,0
31,16926,1244,0,0,0,0,0
31,17125,1274,0,0,0,0,0
31,17056,1252,0,0,0,0,0
31,16911,1294,0,0,0,0,0
31,16967,1202,0,0,0,0,0
32,20828,1525,0,0,0,0,0
32,17962,1375,0,0,0,0,0
32,17582,1414,0,0,0,0,0
32,17639,1588,0,0,0,0,0
32,17899,1360,0,0,0,0,0
32,17967,1332,0,0,0,0,0
32,17511,1338,0,0,0,0,0
32,17859,1372,0,0,0,0,0
32,17683,1350,0,0,0,0,0
32,17429,1361,0,0,0,0,0
32,17605,1377,0,0,0,0,0
32,17670,1317,0,0,0,0,0
32,17340,1291,0,0,0,0,0
32,17611,1378,0,0,0,0,0
32,17275,1298,0,0,0,0,0
32,17298,1345,0,0,0,0,0
32,17506,1307,0,0,0,0,0
32,17341,1420,0,0,0,0,0
32,17401,1327,0,0,0,0,0
32,17103,1361,0,0,0,0,0
33,20139,1544,0,0,0,0,0
33,19140,1391,0,0,0,0,0
33,18196,1290,0,0,0,0,0
33,18179,1380,0,0,0,0,0
33,18088,1356,0,0,0,0,0
33,18423,1395,0,0,0,0,0
33,18094,1382,0,0,0,0,0
33,17930,1326,0,0,0,0,0
33,18377,1394,0,0,0,0,0
33,18136,1365,0,0,0,0,0
33,17712,1375,0,0,0,0,0
33,17868,1347,0,0,0,0,0
33,18268,1374,0,0,0,0,0
33,17874,1322,0,0,0,0,0
33,17632,1391,0,0,0,0,0
33,17835,1350,0,0,0,0,0
33,18250,1374,0,0,0,0,0
33,18158,1351,0,0,0,0,0
33,18299,1392,0,0,0,0,0
33,18397,1386,0,0,0,0,0
34,20114,1407,0,0,0,0,0
34,18418,1372,0,0,0,0,0
34,18222,1333,0,0,0,0,0
34,18290,1283,0,0,0,0,0
34,18325,1343,0,0,0,0,0
34,18665,1368,0,0,0,0,0
34,18250,1350,0,0,0,0,0
34,18024,1372,0,0,0,0,0
34,18397,1377,0,0,0,0,0
34,18606,1327,0,0,0,0,0
34,18861,1351,0,0,0,0,0
34,18178,1265,0,0,0,0,0
34,18448,1299,0,0,0,0,0
34,18816,1325,0,0,0,0,0
34,18454,1380,0,0,0,0,0
34,18395,1349,0,0,0,0,0
34,18034,1340,0,0,0,0,0
34,18460,1376,0,0,0,0,0
34,18327,1361,0,0,0,0,0
34,18111,1354,0,0,0,0,0
35,20847,1506,0,0,0,0,0
35,18654,1390,0,0,0,0,0
35,18457,1421,0,0,0,0,0
35,18455,1404,0,0,0,0,0
35,18137,1340,0,0,0,0,0
35,18052,1358,0,0,0,0,0
35,18079,1413,0,0,0,0,0
35,18313,1305,0,0,0,0,0
35,17993,1303,0,0,0,0,0
35,18577,1409,0,0,0,0,0
35,17929,1388,0,0,0,0,0
35,18822,1357,0,0,0,0,0
35,17840,1372,0,0,0,0,0
35,18142,1372,0,0,0,0,0
35,18028,1329,0,0,0,0,0
35,17995,1362,0,0,0,0,0
35,17686,1370,0,0,0,0,0
35,18310,1336,0,0,0,0,0
35,18607,1405,0,0,0,0,0
35,18239,1396,0,0,0,0,0
36,20346,1488,0,0,0,0,0
36,18671,1403,0,0,0,0,0
36,18417,1391,0,0,0,0,0
36,18096,1414,0,0,0,0,0
36,18491,1360,0,0,0,0,0
36,18174,1360,0,0,0,0,0
36,18720,1337,0,0,0,0,0
36,18056,1313,0,0,0,0,0
36,18439,1371,0,0,0,0,0
36,18173,1408,0,0,0,0,0
36,17948,1347,0,0,0,0,0
36,18393,1352,0,0,0,0,0
36,18074,2283,0,0,0,0,0
36,18282,1345,0,0,0,0,0
36,18489,1362,0,0,0,0,0
36,18343,1345,0,0,0,0,0
36,18329,1365,0,0,0,0,0
36,18256,1377,0,0,0,0,0
36,18248,1377,0,0,0,0,0
36,18248,1359,0,0,0,0,0
37,19783,1519,0,0,0,0,0
37,33665,1427,0,0,0,0,0
37,18200,1382,0,0,0,0,0
37,18511,1392,0,0,0,0,0
37,18290,1297,0,0,0,0,0
37,17894,1389,0,0,0,0,0
37,17932,1355,0,0,0,0,0
37,18310,1326,0,0,0,0,0
37,17989,1348,0,0,0,0,0
37,18272,1391,0,0,0,0,0
37,18103,1374,0,0,0,0,0
37,18092,1325,0,0,0,0,0
37,18427,1373,0,0,0,0,0
37,18004,1335,0,0,0,0,0
37,17985,1347,0,0,0,0,0
37,18003,1328,0,0,0,0,0
37,18458,1399,0,0,0,0,0
37,18028,1308,0,0,0,0,0
37,17946,1305,0,0,0,0,0
37,18265,1350,0,0,0,0,0
38,21558,1479,0,0,0,0,0
38,19179,1383,0,0,0,0,0
38,18931,1376,0,0,0,0,0
38,18996,1338,0,0,0,0,0
38,18944,1321,0,0,0,0,0
38,18624,1271,0,0,0,0,0
38,18743,1310,0,0,0,0,0
38,18771,1347,0,0,0,0,0
38,18544,1352,0,0,0,0,0
38,18457,1320,0,0,0,0,0
38,18588,1322,0,0,0,0,0
38,18580,1321,0,0,0,0,0
38,18489,1349,0,0,0,0,0
38,18623,1309,0,0,0,0,0
38,18574,1302,0,0,0,0,0
38,18565,1337,0,0,0,0,0
38,18593,1352,0,0,0,0,0
38,18359,1320,0,0,0,0,0
38,18693,1328,0,0,0,0,0
38,18738,1394,0,0,0,0,0
39,20887,1534,0,0,0,0,0
39,18974,1343,0,0,0,0,0
39,18825,1344,0,0,0,0,0
39,19144,1355,0,0,0,0,0
39,19255,1324,0,0,0,0,0
