Pallet: "pallet_treasury", Extrinsic: "propose_spend", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
26288,1541,0,0,0,0,0
22324,1375,0,0,0,0,0
21838,1435,0,0,0,0,0
22356,1424,0,0,0,0,0
22090,1492,0,0,0,0,0
22182,1427,0,0,0,0,0
21792,1425,0,0,0,0,0
21911,1375,0,0,0,0,0
21741,1429,0,0,0,0,0
21640,1385,0,0,0,0,0
21736,1408,0,0,0,0,0
21623,1433,0,0,0,0,0
21363,1359,0,0,0,0,0
21457,1357,0,0,0,0,0
21752,1417,0,0,0,0,0
21610,1377,0,0,0,0,0
21870,1375,0,0,0,0,0
21713,1392,0,0,0,0,0
21300,1398,0,0,0,0,0
21675,1334,0,0,0,0,0

Raw Storage Info
========
Storage: Treasury ProposalCount (r:1 w:1)
Storage: Treasury Proposals (r:0 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    21.75
              µs

Reads = 1
Writes = 2

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    21.75
              µs

Reads = 1
Writes = 2

Pallet: "pallet_treasury", Extrinsic: "reject_proposal", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
27721,1603,0,0,0,0,0
25709,1479,0,0,0,0,0
25565,1579,0,0,0,0,0
25148,1507,0,0,0,0,0
25049,1513,0,0,0,0,0
25196,1404,0,0,0,0,0
25057,1482,0,0,0,0,0
25305,1476,0,0,0,0,0
25256,1477,0,0,0,0,0
24789,1502,0,0,0,0,0
25566,1447,0,0,0,0,0
25400,1498,0,0,0,0,0
25692,1493,0,0,0,0,0
25723,1487,0,0,0,0,0
25380,1527,0,0,0,0,0
24864,1475,0,0,0,0,0
25337,1494,0,0,0,0,0
25371,1471,0,0,0,0,0
25769,1419,0,0,0,0,0
25582,1496,0,0,0,0,0

Raw Storage Info
========
Storage: Treasury Proposals (r:1 w:1)
Storage: System Account (r:1 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    25.38
              µs

Reads = 2
Writes = 2

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    25.38
              µs

Reads = 2
Writes = 2

Pallet: "pallet_treasury", Extrinsic: "approve_proposal", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
p,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
3,6847,1270,0,0,0,0,0
3,6967,1269,0,0,0,0,0
3,7003,1301,0,0,0,0,0
3,7100,1275,0,0,0,0,0
3,7256,1295,0,0,0,0,0
3,7189,1294,0,0,0,0,0
3,7209,1247,0,0,0,0,0
3,7065,1335,0,0,0,0,0
4,7716,1418,0,0,0,0,0
4,7023,1391,0,0,0,0,0
4,7168,1358,0,0,0,0,0
4,6960,1373,0,0,0,0,0
4,7048,1327,0,0,0,0,0
4,7224,1427,0,0,0,0,0
4,6976,1381,0,0,0,0,0
4,7040,1369,0,0,0,0,0
4,7117,1367,0,0,0,0,0
4,6940,1339,0,0,0,0,0
4,7026,1392,0,0,0,0,0
4,7103,1386,0,0,0,0,0
4,7019,1392,0,0,0,0,0
4,7185,1405,0,0,0,0,0
4,7115,1322,0,0,0,0,0
4,7031,1372,0,0,0,0,0
4,7076,1348,0,0,0,0,0
4,7040,1385,0,0,0,0,0
4,6869,1312,0,0,0,0,0
4,6870,1367,0,0,0,0,0
5,7689,1455,0,0,0,0,0
5,7301,1433,0,0,0,0,0
5,7279,1412,0,0,0,0,0
5,7238,1385,0,0,0,0,0
5,7217,1399,0,0,0,0,0
5,7355,1348,0,0,0,0,0
5,7236,1366,0,0,0,0,0
5,7153,1320,0,0,0,0,0
5,7268,1377,0,0,0,0,0
5,7295,1326,0,0,0,0,0
5,7151,1363,0,0,0,0,0
5,7249,1329,0,0,0,0,0
5,7255,1381,0,0,0,0,0
5,7325,1397,0,0,0,0,0
5,7437,1417,0,0,0,0,0
5,7398,1341,0,0,0,0,0
5,7188,1401,0,0,0,0,0
5,7193,1354,0,0,0,0,0
5,7089,1354,0,0,0,0,0
5,7096,1360,0,0,0,0,0
6,8331,1427,0,0,0,0,0
6,7608,1325,0,0,0,0,0
6,7406,1410,0,0,0,0,0
6,7562,1349,0,0,0,0,0
6,7515,1369,0,0,0,0,0
6,7559,1279,0,0,0,0,0
6,7479,1354,0,0,0,0,0
6,7565,1287,0,0,0,0,0
6,7616,1425,0,0,0,0,0
6,7789,1375,0,0,0,0,0
6,7730,1427,0,0,0,0,0
6,7803,1373,0,0,0,0,0
6,7698,1325,0,0,0,0,0
6,7703,1348,0,0,0,0,0
6,7648,1333,0,0,0,0,0
6,7626,1334,0,0,0,0,0
6,7613,1350,0,0,0,0,0
6,7841,1377,0,0,0,0,0
6,7575,1413,0,0,0,0,0
6,7798,1362,0,0,0,0,0
7,8415,1485,0,0,0,0,0
7,7581,1370,0,0,0,0,0
7,7226,1300,0,0,0,0,0
7,7313,1280,0,0,0,0,0
7,7233,1268,0,0,0,0,0
7,7265,1312,0,0,0,0,0
7,7526,1298,0,0,0,0,0
7,7389,1328,0,0,0,0,0
7,7222,1317,0,0,0,0,0
7,7354,1263,0,0,0,0,0
7,7216,1241,0,0,0,0,0
7,7217,1278,0,0,0,0,0
7,7137,1282,0,0,0,0,0
7,7272,1295,0,0,0,0,0
7,7322,1278,0,0,0,0,0
7,7239,1323,0,0,0,0,0
7,7279,1278,0,0,0,0,0
7,7445,1285,0,0,0,0,0
7,7324,1302,0,0,0,0,0
7,7256,1288,0,0,0,0,0
8,7916,1373,0,0,0,0,0
8,7893,1359,0,0,0,0,0
8,7614,1357,0,0,0,0,0
8,7924,1354,0,0,0,0,0
8,7818,1332,0,0,0,0,0
8,7529,1282,0,0,0,0,0
8,7814,1305,0,0,0,0,0
8,7827,1356,0,0,0,0,0
8,7887,1294,0,0,0,0,0
8,7159,1296,0,0,0,0,0
8,7440,1298,0,0,0,0,0
8,7446,1359,0,0,0,0,0
8,7667,1328,0,0,0,0,0
8,7516,1338,0,0,0,0,0
8,7718,1278,0,0,0,0,0
8,7522,1278,0,0,0,0,0
8,7700,1342,0,0,0,0,0
8,7730,1309,0,0,0,0,0
8,7626,1267,0,0,0,0,0
8,7942,1352,0,0,0,0,0
9,8927,1456,0,0,0,0,0
9,8046,1340,0,0,0,0,0
9,8360,1405,0,0,0,0,0
9,8314,1399,0,0,0,0,0
9,8061,1365,0,0,0,0,0
9,8081,1377,0,0,0,0,0
9,8228,1344,0,0,0,0,0
9,8147,1433,0,0,0,0,0
9,8249,1349,0,0,0,0,0
9,8152,1355,0,0,0,0,0
9,8696,1339,0,0,0,0,0
9,7923,1377,0,0,0,0,0
9,8129,1428,0,0,0,0,0
9,8124,1388,0,0,0,0,0
9,8188,1436,0,0,0,0,0
9,8144,1377,0,0,0,0,0
9,8271,1373,0,0,0,0,0
9,8063,1385,0,0,0,0,0
9,8208,1384,0,0,0,0,0
9,8156,1313,0,0,0,0,0
10,8558,1483,0,0,0,0,0
10,8331,1438,0,0,0,0,0
10,8197,1403,0,0,0,0,0
10,8046,1398,0,0,0,0,0
10,8301,1398,0,0,0,0,0
10,7946,1400,0,0,0,0,0
10,8270,1400,0,0,0,0,0
10,7874,1359,0,0,0,0,0
10,7895,1473,0,0,0,0,0
10,7950,1431,0,0,0,0,0
10,8366,1460,0,0,0,0,0
10,7951,1398,0,0,0,0,0
10,8316,1405,0,0,0,0,0
10,8343,1400,0,0,0,0,0
10,8106,1415,0,0,0,0,0
10,8176,1366,0,0,0,0,0
10,7946,1405,0,0,0,0,0
10,8235,1382,0,0,0,0,0
10,7989,1336,0,0,0,0,0
10,8105,1383,0,0,0,0,0
11,8964,1482,0,0,0,0,0
11,8594,1423,0,0,0,0,0
11,8753,1407,0,0,0,0,0
11,8626,1402,0,0,0,0,0
11,8705,1416,0,0,0,0,0
11,8834,1447,0,0,0,0,0
11,8717,1418,0,0,0,0,0
11,8709,1464,0,0,0,0,0
11,8680,1403,0,0,0,0,0
11,8528,1421,0,0,0,0,0
11,8637,1440,0,0,0,0,0
11,8741,1363,0,0,0,0,0
11,8876,1383,0,0,0,0,0
11,8609,1412,0,0,0,0,0
11,8320,1413,0,0,0,0,0
11,21347,1415,0,0,0,0,0
11,8271,1410,0,0,0,0,0
11,8418,1334,0,0,0,0,0
11,8327,1386,0,0,0,0,0
11,8398,1402,0,0,0,0,0
12,8787,1390,0,0,0,0,0
12,8696,1395,0,0,0,0,0
12,8043,1379,0,0,0,0,0
12,8100,1386,0,0,0,0,0
12,8332,1407,0,0,0,0,0
12,8091,1373,0,0,0,0,0
12,8797,1376,0,0,0,0,0
12,8150,1395,0,0,0,0,0
12,8345,1331,0,0,0,0,0
12,8521,1334,0,0,0,0,0
12,8262,1387,0,0,0,0,0
12,8327,1371,0,0,0,0,0
12,8362,1352,0,0,0,0,0
12,8296,1360,0,0,0,0,0
12,8213,1368,0,0,0,0,0
12,8060,1308,0,0,0,0,0
12,8022,1332,0,0,0,0,0
12,8167,1411,0,0,0,0,0
12,8328,1382,0,0,0,0,0
12,8119,1407,0,0,0,0,0
13,9178,1428,0,0,0,0,0
13,8512,1451,0,0,0,0,0
13,8428,1358,0,0,0,0,0
13,8540,1418,0,0,0,0,0
13,8355,1355,0,0,0,0,0
13,8617,1343,0,0,0,0,0
13,8601,1392,0,0,0,0,0
13,8545,1394,0,0,0,0,0
13,8631,1413,0,0,0,0,0
13,8759,1325,0,0,0,0,0
13,10649,1421,0,0,0,0,0
13,8544,1387,0,0,0,0,0
13,8807,1378,0,0,0,0,0
13,8900,1378,0,0,0,0,0
13,8649,1340,0,0,0,0,0
13,8965,1401,0,0,0,0,0
13,8398,1381,0,0,0,0,0
13,8746,1411,0,0,0,0,0
13,8605,1401,0,0,0,0,0
13,8736,1419,0,0,0,0,0
14,9242,1459,0,0,0,0,0
14,8615,1416,0,0,0,0,0
14,9239,1403,0,0,0,0,0
14,8439,1371,0,0,0,0,0
14,8633,1348,0,0,0,0,0
14,8927,1417,0,0,0,0,0
14,8732,1402,0,0,0,0,0
14,8912,1373,0,0,0,0,0
14,9028,1422,0,0,0,0,0
14,8702,1457,0,0,0,0,0
14,8628,1396,0,0,0,0,0
14,8688,1317,0,0,0,0,0
14,8600,1349,0,0,0,0,0
14,8305,1372,0,0,0,0,0
14,8475,1409,0,0,0,0,0
14,8565,1331,0,0,0,0,0
14,8434,1377,0,0,0,0,0
14,8654,1377,0,0,0,0,0
14,8684,1347,0,0,0,0,0
14,8553,1384,0,0,0,0,0
15,8885,1401,0,0,0,0,0
15,8375,1341,0,0,0,0,0
15,8591,1393,0,0,0,0,0
15,8507,1404,0,0,0,0,0
15,8709,1340,0,0,0,0,0
15,8616,1374,0,0,0,0,0
15,8564,1398,0,0,0,0,0
15,8387,1344,0,0,0,0,0
15,8313,1391,0,0,0,0,0
15,8440,1427,0,0,0,0,0
15,8524,1332,0,0,0,0,0
15,8403,1290,0,0,0,0,0
15,8521,1393,0,0,0,0,0
15,8499,1397,0,0,0,0,0
15,8529,1424,0,0,0,0,0
15,8482,1376,0,0,0,0,0
15,8785,1361,0,0,0,0,0
15,8677,1436,0,0,0,0,0
15,8444,1342,0,0,0,0,0
15,8559,1334,0,0,0,0,0
16,9290,1431,0,0,0,0,0
16,8824,1377,0,0,0,0,0
16,8724,1368,0,0,0,0,0
16,8907,1318,0,0,0,0,0
16,8777,1373,0,0,0,0,0
16,8756,1361,0,0,0,0,0
16,8921,1352,0,0,0,0,0
16,8879,1289,0,0,0,0,0
16,8880,1359,0,0,0,0,0
16,8634,1326,0,0,0,0,0
16,9043,1316,0,0,0,0,0
16,8936,1316,0,0,0,0,0
16,8998,1305,0,0,0,0,0
16,8624,1334,0,0,0,0,0
16,8776,1325,0,0,0,0,0
16,8969,1277,0,0,0,0,0
16,8984,1355,0,0,0,0,0
16,8944,1307,0,0,0,0,0
16,8816,1382,0,0,0,0,0
16,8648,1299,0,0,0,0,0
17,9270,1458,0,0,0,0,0
17,8663,1388,0,0,0,0,0
17,8709,1416,0,0,0,0,0
17,8912,1406,0,0,0,0,0
17,8779,1400,0,0,0,0,0
17,8728,1410,0,0,0,0,0
17,8776,1400,0,0,0,0,0
17,8790,1376,0,0,0,0,0
17,8945,1384,0,0,0,0,0
17,8707,1383,0,0,0,0,0
17,8611,1397,0,0,0,0,0
17,8744,1392,0,0,0,0,0
17,8883,1380,0,0,0,0,0
17,8652,1396,0,0,0,0,0
17,8696,1385,0,0,0,0,0
17,8783,1423,0,0,0,0,0
17,8556,1364,0,0,0,0,0
17,8800,1418,0,0,0,0,0
17,8780,1430,0,0,0,0,0
17,8824,1389,0,0,0,0,0
18,9446,1410,0,0,0,0,0
18,9445,1347,0,0,0,0,0
18,9354,1398,0,0,0,0,0
18,9130,1339,0,0,0,0,0
18,8988,1279,0,0,0,0,0
18,9163,1385,0,0,0,0,0
18,9231,1330,0,0,0,0,0
18,9003,1375,0,0,0,0,0
18,9324,1373,0,0,0,0,0
18,9391,1366,0,0,0,0,0
18,9120,1376,0,0,0,0,0
18,9471,1344,0,0,0,0,0
18,9493,1356,0,0,0,0,0
18,9186,1362,0,0,0,0,0
18,9164,1365,0,0,0,0,0
18,9132,1342,0,0,0,0,0
18,9087,1297,0,0,0,0,0
18,8978,1332,0,0,0,0,0
18,9163,1342,0,0,0,0,0
18,9249,1360,0,0,0,0,0
19,10077,1484,0,0,0,0,0
19,9269,1394,0,0,0,0,0
19,9347,1415,0,0,0,0,0
19,9158,1383,0,0,0,0,0
19,9833,1385,0,0,0,0,0
19,9258,1397,0,0,0,0,0
19,9206,1420,0,0,0,0,0
19,9225,1420,0,0,0,0,0
19,9151,1421,0,0,0,0,0
19,9460,1469,0,0,0,0,0
19,9459,1425,0,0,0,0,0
19,9458,1400,0,0,0,0,0
19,9265,1386,0,0,0,0,0
19,9209,1439,0,0,0,0,0
19,9177,1444,0,0,0,0,0
19,9453,1483,0,0,0,0,0
19,9524,1406,0,0,0,0,0
19,9231,1415,0,0,0,0,0
19,9273,1409,0,0,0,0,0
19,9436,1424,0,0,0,0,0
20,9658,1426,0,0,0,0,0
20,9489,1318,0,0,0,0,0
20,22618,1388,0,0,0,0,0
20,9104,1410,0,0,0,0,0
20,9167,1385,0,0,0,0,0
20,8887,1389,0,0,0,0,0
20,9178,1376,0,0,0,0,0
20,9281,1384,0,0,0,0,0
20,9085,1378,0,0,0,0,0
20,11096,1419,0,0,0,0,0
20,8992,1399,0,0,0,0,0
20,9195,1364,0,0,0,0,0
20,9221,1331,0,0,0,0,0
20,9200,1335,0,0,0,0,0
20,9252,1375,0,0,0,0,0
20,8978,1338,0,0,0,0,0
20,9032,2178,0,0,0,0,0
20,9003,1355,0,0,0,0,0
20,9157,1391,0,0,0,0,0
20,9046,1400,0,0,0,0,0
21,9996,1446,0,0,0,0,0
21,9525,1389,0,0,0,0,0
21,9390,1392,0,0,0,0,0
21,9348,1341,0,0,0,0,0
21,9558,1313,0,0,0,0,0
21,9670,1319,0,0,0,0,0
21,9458,1366,0,0,0,0,0
21,9699,1335,0,0,0,0,0
21,9540,1347,0,0,0,0,0
21,9686,1360,0,0,0,0,0
21,9320,1314,0,0,0,0,0
21,9555,1422,0,0,0,0,0
21,9660,1374,0,0,0,0,0
21,9572,1354,0,0,0,0,0
21,9624,1350,0,0,0,0,0
21,9747,1377,0,0,0,0,0
21,9509,1363,0,0,0,0,0
21,9651,1381,0,0,0,0,0
21,9705,1336,0,0,0,0,0
21,9305,1329,0,0,0,0,0
22,10092,1499,0,0,0,0,0
22,9917,1442,0,0,0,0,0
22,9507,1379,0,0,0,0,0
22,9601,1409,0,0,0,0,0
22,9755,1421,0,0,0,0,0
22,9491,1414,0,0,0,0,0
22,9665,1382,0,0,0,0,0
22,9601,1482,0,0,0,0,0
22,9554,1442,0,0,0,0,0
22,9925,1468,0,0,0,0,0
22,9317,1440,0,0,0,0,0
22,9730,1422,0,0,0,0,0
22,9480,1430,0,0,0,0,0
22,9484,1442,0,0,0,0,0
22,10133,1402,0,0,0,0,0
22,9699,1429,0,0,0,0,0
22,9711,1430,0,0,0,0,0
22,9504,1465,0,0,0,0,0
22,9491,1417,0,0,0,0,0
22,9606,1447,0,0,0,0,0
23,10163,1376,0,0,0,0,0
23,9841,1384,0,0,0,0,0
23,9681,1405,0,0,0,0,0
23,9981,1409,0,0,0,0,0
23,9901,1435,0,0,0,0,0
23,9645,1401,0,0,0,0,0
23,9433,1391,0,0,0,0,0
23,9897,1376,0,0,0,0,0
23,9774,1478,0,0,0,0,0
23,9530,1434,0,0,0,0,0
23,9890,1397,0,0,0,0,0
23,9814,1443,0,0,0,0,0
23,9815,1395,0,0,0,0,0
23,9760,1449,0,0,0,0,0
23,9797,1387,0,0,0,0,0
23,9716,1453,0,0,0,0,0
23,9813,1387,0,0,0,0,0
23,9758,1477,0,0,0,0,0
23,9715,1436,0,0,0,0,0
23,9631,1407,0,0,0,0,0
24,30809,1520,0,0,0,0,0
24,9675,1410,0,0,0,0,0
24,9429,1393,0,0,0,0,0
24,9523,1368,0,0,0,0,0
24,9787,1409,0,0,0,0,0
24,9352,1410,0,0,0,0,0
24,9336,1387,0,0,0,0,0
24,9612,1393,0,0,0,0,0
24,9520,1430,0,0,0,0,0
24,9296,1331,0,0,0,0,0
24,9466,1360,0,0,0,0,0
24,9506,1397,0,0,0,0,0
24,9636,1422,0,0,0,0,0
24,9429,1392,0,0,0,0,0
24,9434,1422,0,0,0,0,0
24,9422,1384,0,0,0,0,0
24,9577,1399,0,0,0,0,0
24,9461,1384,0,0,0,0,0
24,9702,1424,0,0,0,0,0
24,9586,1372,0,0,0,0,0
25,10319,1447,0,0,0,0,0
25,9791,1396,0,0,0,0,0
25,9590,1372,0,0,0,0,0
25,9688,1408,0,0,0,0,0
25,9818,1384,0,0,0,0,0
25,10164,1391,0,0,0,0,0
25,9868,1411,0,0,0,0,0
25,9983,1419,0,0,0,0,0
25,9834,1352,0,0,0,0,0
25,10277,1460,0,0,0,0,0
25,9733,1415,0,0,0,0,0
25,9645,1409,0,0,0,0,0
25,9949,1403,0,0,0,0,0
25,9935,1402,0,0,0,0,0
25,10014,1400,0,0,0,0,0
25,9945,1379,0,0,0,0,0
25,9756,1433,0,0,0,0,0
25,10359,1421,0,0,0,0,0
25,9685,1362,0,0,0,0,0
25,10046,1442,0,0,0,0,0
26,10789,1367,0,0,0,0,0
26,10209,1363,0,0,0,0,0
26,10365,1324,0,0,0,0,0
26,10456,1332,0,0,0,0,0
26,10365,1362,0,0,0,0,0
26,10407,1359,0,0,0,0,0
26,10446,1323,0,0,0,0,0
26,10527,1398,0,0,0,0,0
26,10168,1323,0,0,0,0,0
26,10032,1331,0,0,0,0,0
26,10257,1346,0,0,0,0,0
26,10175,5369,0,0,0,0,0
26,10425,1380,0,0,0,0,0
26,10247,1320,0,0,0,0,0
26,10435,1386,0,0,0,0,0
26,10308,1363,0,0,0,0,0
26,10308,1347,0,0,0,0,0
26,10140,1340,0,0,0,0,0
26,10189,1296,0,0,0,0,0
26,10290,1336,0,0,0,0,0
27,10926,1477,0,0,0,0,0
27,10774,1394,0,0,0,0,0
27,10194,1441,0,0,0,0,0
27,10474,1369,0,0,0,0,0
27,10295,1344,0,0,0,0,0
27,10479,1402,0,0,0,0,0
27,10550,1411,0,0,0,0,0
27,10214,1377,0,0,0,0,0
27,10247,1406,0,0,0,0,0
27,10504,1420,0,0,0,0,0
27,10599,1402,0,0,0,0,0
27,10384,1386,0,0,0,0,0
27,10266,1402,0,0,0,0,0
27,10436,1453,0,0,0,0,0
27,10587,1404,0,0,0,0,0
27,10596,1406,0,0,0,0,0
27,10267,1391,0,0,0,0,0
27,10618,1426,0,0,0,0,0
27,10233,1392,0,0,0,0,0
27,10204,1453,0,0,0,0,0
28,10776,1459,0,0,0,0,0
28,10631,1392,0,0,0,0,0
28,10150,1372,0,0,0,0,0
28,10336,1359,0,0,0,0,0
28,10468,1427,0,0,0,0,0
28,10863,1354,0,0,0,0,0
28,10299,1378,0,0,0,0,0
28,10386,1370,0,0,0,0,0
28,10293,1384,0,0,0,0,0
28,10174,1356,0,0,0,0,0
28,10221,1386,0,0,0,0,0
28,10344,1344,0,0,0,0,0
28,10302,1362,0,0,0,0,0
28,10628,1399,0,0,0,0,0
28,10564,1345,0,0,0,0,0
28,10216,1364,0,0,0,0,0
28,10555,1418,0,0,0,0,0
28,10217,1384,0,0,0,0,0
28,10728,1381,0,0,0,0,0
28,10392,1412,0,0,0,0,0
29,11089,1490,0,0,0,0,0
29,10500,1474,0,0,0,0,0
29,10283,1471,0,0,0,0,0
29,10302,1439,0,0,0,0,0
29,10156,1434,0,0,0,0,0
29,10242,1407,0,0,0,0,0
29,10211,1460,0,0,0,0,0
29,10405,1388,0,0,0,0,0
29,10338,1447,0,0,0,0,0
29,10253,1393,0,0,0,0,0
29,10328,1412,0,0,0,0,0
29,10418,1395,0,0,0,0,0
29,10446,1355,0,0,0,0,0
29,10178,1465,0,0,0,0,0
29,10402,1496,0,0,0,0,0
29,10341,1390,0,0,0,0,0
29,10108,1439,0,0,0,0,0
29,10175,1450,0,0,0,0,0
29,10509,1436,0,0,0,0,0
29,10351,1467,0,0,0,0,0
30,11750,1489,0,0,0,0,0
30,10428,1377,0,0,0,0,0
30,10601,1467,0,0,0,0,0
30,11429,2175,0,0,0,0,0
30,10816,1547,0,0,0,0,0
30,10960,1421,0,0,0,0,0
30,10623,1467,0,0,0,0,0
30,10196,1428,0,0,0,0,0
30,10477,1412,0,0,0,0,0
30,10567,1388,0,0,0,0,0
30,10905,1419,0,0,0,0,0
30,10390,1416,0,0,0,0,0
30,10560,1367,0,0,0,0,0
30,10313,1384,0,0,0,0,0
30,10242,1429,0,0,0,0,0
30,10586,1412,0,0,0,0,0
30,10061,1324,0,0,0,0,0
30,10578,1356,0,0,0,0,0
30,10280,1370,0,0,0,0,0
30,10136,1404,0,0,0,0,0
31,11001,1386,0,0,0,0,0
31,10335,1388,0,0,0,0,0
31,10193,1324,0,0,0,0,0
31,10377,1392,0,0,0,0,0
31,10601,1401,0,0,0,0,0
31,10508,1406,0,0,0,0,0
31,10457,1414,0,0,0,0,0
31,10583,1354,0,0,0,0,0
31,10486,1348,0,0,0,0,0
31,10656,1316,0,0,0,0,0
31,10658,1381,0,0,0,0,0
31,10562,1423,0,0,0,0,0
31,10502,1366,0,0,0,0,0
