Pallet: "frame_benchmarking", Extrinsic: "addition", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
i,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
220000,155,995,0,0,0,0,0
220000,160,924,0,0,0,0,0
220000,125,961,0,0,0,0,0
220000,121,919,0,0,0,0,0
220000,148,942,0,0,0,0,0
220000,122,948,0,0,0,0,0
220000,118,959,0,0,0,0,0
240000,268,1074,0,0,0,0,0
240000,155,944,0,0,0,0,0
240000,144,925,0,0,0,0,0
240000,168,917,0,0,0,0,0
240000,139,968,0,0,0,0,0
240000,158,973,0,0,0,0,0
240000,150,951,0,0,0,0,0
240000,157,954,0,0,0,0,0
240000,169,963,0,0,0,0,0
240000,156,937,0,0,0,0,0
240000,174,966,0,0,0,0,0
240000,145,964,0,0,0,0,0
240000,158,946,0,0,0,0,0
240000,151,948,0,0,0,0,0
240000,140,934,0,0,0,0,0
240000,137,943,0,0,0,0,0
240000,138,937,0,0,0,0,0
240000,130,933,0,0,0,0,0
240000,139,930,0,0,0,0,0
240000,133,944,0,0,0,0,0
260000,285,1138,0,0,0,0,0
260000,171,944,0,0,0,0,0
260000,161,951,0,0,0,0,0
260000,164,966,0,0,0,0,0
260000,160,943,0,0,0,0,0
260000,131,953,0,0,0,0,0
260000,157,966,0,0,0,0,0
260000,154,953,0,0,0,0,0
260000,141,961,0,0,0,0,0
260000,155,950,0,0,0,0,0
260000,153,962,0,0,0,0,0
260000,138,969,0,0,0,0,0
260000,162,935,0,0,0,0,0
260000,126,966,0,0,0,0,0
260000,142,924,0,0,0,0,0
260000,134,964,0,0,0,0,0
260000,132,940,0,0,0,0,0
260000,158,928,0,0,0,0,0
260000,140,959,0,0,0,0,0
260000,143,937,0,0,0,0,0
280000,767,1301,0,0,0,0,0
280000,156,1001,0,0,0,0,0
280000,152,991,0,0,0,0,0
280000,148,944,0,0,0,0,0
280000,151,954,0,0,0,0,0
280000,134,931,0,0,0,0,0
280000,153,934,0,0,0,0,0
280000,151,924,0,0,0,0,0
280000,132,937,0,0,0,0,0
280000,127,930,0,0,0,0,0
280000,150,925,0,0,0,0,0
280000,150,939,0,0,0,0,0
280000,148,920,0,0,0,0,0
280000,148,963,0,0,0,0,0
280000,124,955,0,0,0,0,0
280000,144,902,0,0,0,0,0
280000,147,935,0,0,0,0,0
280000,147,942,0,0,0,0,0
280000,115,937,0,0,0,0,0
280000,136,937,0,0,0,0,0
300000,285,1140,0,0,0,0,0
300000,131,976,0,0,0,0,0
300000,146,998,0,0,0,0,0
300000,127,948,0,0,0,0,0
300000,126,976,0,0,0,0,0
300000,141,927,0,0,0,0,0
300000,146,954,0,0,0,0,0
300000,125,924,0,0,0,0,0
300000,126,936,0,0,0,0,0
300000,131,934,0,0,0,0,0
300000,127,952,0,0,0,0,0
300000,130,933,0,0,0,0,0
300000,130,936,0,0,0,0,0
300000,123,964,0,0,0,0,0
300000,141,940,0,0,0,0,0
300000,133,937,0,0,0,0,0
300000,126,932,0,0,0,0,0
300000,138,940,0,0,0,0,0
300000,132,957,0,0,0,0,0
300000,133,931,0,0,0,0,0
320000,293,1208,0,0,0,0,0
320000,164,943,0,0,0,0,0
320000,164,972,0,0,0,0,0
320000,156,930,0,0,0,0,0
320000,134,938,0,0,0,0,0
320000,152,937,0,0,0,0,0
320000,184,961,0,0,0,0,0
320000,153,979,0,0,0,0,0
320000,157,994,0,0,0,0,0
320000,149,953,0,0,0,0,0
320000,137,949,0,0,0,0,0
320000,140,956,0,0,0,0,0
320000,147,926,0,0,0,0,0
320000,151,961,0,0,0,0,0
320000,128,955,0,0,0,0,0
320000,147,915,0,0,0,0,0
320000,152,981,0,0,0,0,0
320000,127,986,0,0,0,0,0
320000,145,978,0,0,0,0,0
320000,128,942,0,0,0,0,0
340000,288,1126,0,0,0,0,0
340000,146,963,0,0,0,0,0
340000,126,966,0,0,0,0,0
340000,131,973,0,0,0,0,0
340000,152,983,0,0,0,0,0
340000,112,951,0,0,0,0,0
340000,150,943,0,0,0,0,0
340000,144,967,0,0,0,0,0
340000,139,926,0,0,0,0,0
340000,143,922,0,0,0,0,0
340000,120,941,0,0,0,0,0
340000,134,980,0,0,0,0,0
340000,129,981,0,0,0,0,0
340000,136,955,0,0,0,0,0
340000,154,944,0,0,0,0,0
340000,154,991,0,0,0,0,0
340000,151,972,0,0,0,0,0
340000,199,971,0,0,0,0,0
340000,150,941,0,0,0,0,0
340000,137,920,0,0,0,0,0
360000,282,1185,0,0,0,0,0
360000,153,975,0,0,0,0,0
360000,149,1006,0,0,0,0,0
360000,134,940,0,0,0,0,0
360000,146,945,0,0,0,0,0
360000,141,920,0,0,0,0,0
360000,147,921,0,0,0,0,0
360000,148,930,0,0,0,0,0
360000,129,973,0,0,0,0,0
360000,129,955,0,0,0,0,0
360000,147,949,0,0,0,0,0
360000,155,929,0,0,0,0,0
360000,159,959,0,0,0,0,0
360000,139,924,0,0,0,0,0
360000,136,932,0,0,0,0,0
360000,155,1002,0,0,0,0,0
360000,141,962,0,0,0,0,0
360000,130,959,0,0,0,0,0
360000,160,917,0,0,0,0,0
360000,142,960,0,0,0,0,0
380000,269,1078,0,0,0,0,0
380000,157,999,0,0,0,0,0
380000,139,990,0,0,0,0,0
380000,153,955,0,0,0,0,0
380000,142,955,0,0,0,0,0
380000,152,963,0,0,0,0,0
380000,151,952,0,0,0,0,0
380000,156,966,0,0,0,0,0
380000,149,934,0,0,0,0,0
380000,142,952,0,0,0,0,0
380000,143,954,0,0,0,0,0
380000,148,946,0,0,0,0,0
380000,151,939,0,0,0,0,0
380000,151,969,0,0,0,0,0
380000,150,960,0,0,0,0,0
380000,140,936,0,0,0,0,0
380000,154,984,0,0,0,0,0
380000,150,967,0,0,0,0,0
380000,143,940,0,0,0,0,0
380000,142,948,0,0,0,0,0
400000,258,1126,0,0,0,0,0
400000,147,936,0,0,0,0,0
400000,141,952,0,0,0,0,0
400000,145,962,0,0,0,0,0
400000,127,940,0,0,0,0,0
400000,142,927,0,0,0,0,0
400000,154,964,0,0,0,0,0
400000,148,926,0,0,0,0,0
400000,144,930,0,0,0,0,0
400000,149,901,0,0,0,0,0
400000,142,926,0,0,0,0,0
400000,145,979,0,0,0,0,0
400000,145,973,0,0,0,0,0
400000,141,963,0,0,0,0,0
400000,136,934,0,0,0,0,0
400000,134,988,0,0,0,0,0
400000,144,944,0,0,0,0,0
400000,163,913,0,0,0,0,0
400000,138,900,0,0,0,0,0
400000,146,921,0,0,0,0,0
420000,254,1116,0,0,0,0,0
420000,133,969,0,0,0,0,0
420000,132,978,0,0,0,0,0
420000,150,948,0,0,0,0,0
420000,132,970,0,0,0,0,0
420000,144,939,0,0,0,0,0
420000,134,949,0,0,0,0,0
420000,146,973,0,0,0,0,0
420000,140,944,0,0,0,0,0
420000,152,947,0,0,0,0,0
420000,141,957,0,0,0,0,0
420000,135,961,0,0,0,0,0
420000,144,955,0,0,0,0,0
420000,134,955,0,0,0,0,0
420000,137,969,0,0,0,0,0
420000,136,936,0,0,0,0,0
420000,124,970,0,0,0,0,0
420000,129,978,0,0,0,0,0
420000,122,965,0,0,0,0,0
420000,129,931,0,0,0,0,0
440000,222,1092,0,0,0,0,0
440000,127,946,0,0,0,0,0
440000,132,951,0,0,0,0,0
440000,123,958,0,0,0,0,0
440000,139,954,0,0,0,0,0
440000,135,925,0,0,0,0,0
440000,144,1012,0,0,0,0,0
440000,134,949,0,0,0,0,0
440000,140,954,0,0,0,0,0
440000,138,933,0,0,0,0,0
440000,140,993,0,0,0,0,0
440000,161,949,0,0,0,0,0
440000,144,940,0,0,0,0,0
440000,135,916,0,0,0,0,0
440000,145,918,0,0,0,0,0
440000,144,956,0,0,0,0,0
440000,144,974,0,0,0,0,0
440000,137,934,0,0,0,0,0
440000,140,946,0,0,0,0,0
440000,140,940,0,0,0,0,0
460000,282,1132,0,0,0,0,0
460000,138,941,0,0,0,0,0
460000,142,935,0,0,0,0,0
460000,141,916,0,0,0,0,0
460000,149,933,0,0,0,0,0
460000,135,937,0,0,0,0,0
460000,154,961,0,0,0,0,0
460000,143,971,0,0,0,0,0
460000,147,981,0,0,0,0,0
460000,135,987,0,0,0,0,0
460000,132,949,0,0,0,0,0
460000,161,938,0,0,0,0,0
460000,136,935,0,0,0,0,0
460000,159,924,0,0,0,0,0
460000,136,904,0,0,0,0,0
460000,149,921,0,0,0,0,0
460000,160,919,0,0,0,0,0
460000,155,940,0,0,0,0,0
460000,151,985,0,0,0,0,0
460000,135,976,0,0,0,0,0
480000,296,1220,0,0,0,0,0
480000,175,1018,0,0,0,0,0
480000,149,981,0,0,0,0,0
480000,128,926,0,0,0,0,0
480000,129,946,0,0,0,0,0
480000,131,976,0,0,0,0,0
480000,141,956,0,0,0,0,0
480000,147,966,0,0,0,0,0
480000,126,928,0,0,0,0,0
480000,133,941,0,0,0,0,0
480000,136,964,0,0,0,0,0
480000,118,984,0,0,0,0,0
480000,138,946,0,0,0,0,0
480000,127,929,0,0,0,0,0
480000,150,908,0,0,0,0,0
480000,146,938,0,0,0,0,0
480000,118,915,0,0,0,0,0
480000,132,944,0,0,0,0,0
480000,130,966,0,0,0,0,0
480000,129,946,0,0,0,0,0
500000,297,1178,0,0,0,0,0
500000,114,945,0,0,0,0,0
500000,108,929,0,0,0,0,0
500000,149,992,0,0,0,0,0
500000,129,938,0,0,0,0,0
500000,136,935,0,0,0,0,0
500000,152,942,0,0,0,0,0
500000,133,929,0,0,0,0,0
500000,146,922,0,0,0,0,0
500000,143,935,0,0,0,0,0
500000,143,916,0,0,0,0,0
500000,134,926,0,0,0,0,0
500000,144,940,0,0,0,0,0
500000,146,892,0,0,0,0,0
500000,142,941,0,0,0,0,0
500000,146,934,0,0,0,0,0
500000,153,936,0,0,0,0,0
500000,136,934,0,0,0,0,0
500000,145,935,0,0,0,0,0
500000,142,909,0,0,0,0,0
520000,305,1162,0,0,0,0,0
520000,132,987,0,0,0,0,0
520000,131,976,0,0,0,0,0
520000,120,940,0,0,0,0,0
520000,120,974,0,0,0,0,0
520000,134,947,0,0,0,0,0
520000,130,946,0,0,0,0,0
520000,124,929,0,0,0,0,0
520000,132,954,0,0,0,0,0
520000,124,918,0,0,0,0,0
520000,119,928,0,0,0,0,0
520000,140,910,0,0,0,0,0
520000,125,968,0,0,0,0,0
520000,118,903,0,0,0,0,0
520000,118,956,0,0,0,0,0
520000,121,906,0,0,0,0,0
520000,119,920,0,0,0,0,0
520000,126,949,0,0,0,0,0
520000,118,947,0,0,0,0,0
520000,119,956,0,0,0,0,0
540000,523,1101,0,0,0,0,0
540000,148,957,0,0,0,0,0
540000,140,972,0,0,0,0,0
540000,142,976,0,0,0,0,0
540000,139,947,0,0,0,0,0
540000,122,932,0,0,0,0,0
540000,167,906,0,0,0,0,0
540000,136,956,0,0,0,0,0
540000,137,958,0,0,0,0,0
540000,150,909,0,0,0,0,0
540000,151,941,0,0,0,0,0
540000,160,939,0,0,0,0,0
540000,142,916,0,0,0,0,0
540000,158,961,0,0,0,0,0
540000,147,927,0,0,0,0,0
540000,144,925,0,0,0,0,0
540000,145,909,0,0,0,0,0
540000,146,934,0,0,0,0,0
540000,149,979,0,0,0,0,0
540000,147,945,0,0,0,0,0
560000,251,1239,0,0,0,0,0
560000,155,960,0,0,0,0,0
560000,142,935,0,0,0,0,0
560000,146,929,0,0,0,0,0
560000,161,925,0,0,0,0,0
560000,148,943,0,0,0,0,0
560000,149,941,0,0,0,0,0
560000,149,929,0,0,0,0,0
560000,155,968,0,0,0,0,0
560000,141,908,0,0,0,0,0
560000,142,956,0,0,0,0,0
560000,134,922,0,0,0,0,0
560000,137,944,0,0,0,0,0
560000,145,966,0,0,0,0,0
560000,146,885,0,0,0,0,0
560000,152,896,0,0,0,0,0
560000,133,904,0,0,0,0,0
560000,146,901,0,0,0,0,0
560000,159,890,0,0,0,0,0
560000,150,930,0,0,0,0,0
580000,231,1163,0,0,0,0,0
580000,146,953,0,0,0,0,0
580000,128,965,0,0,0,0,0
580000,144,962,0,0,0,0,0
580000,149,963,0,0,0,0,0
580000,132,915,0,0,0,0,0
580000,151,929,0,0,0,0,0
580000,156,927,0,0,0,0,0
580000,164,942,0,0,0,0,0
580000,157,931,0,0,0,0,0
580000,143,926,0,0,0,0,0
580000,145,970,0,0,0,0,0
580000,158,931,0,0,0,0,0
580000,146,916,0,0,0,0,0
580000,162,944,0,0,0,0,0
580000,149,922,0,0,0,0,0
580000,214,1013,0,0,0,0,0
580000,154,933,0,0,0,0,0
580000,130,919,0,0,0,0,0
580000,131,923,0,0,0,0,0
600000,245,1127,0,0,0,0,0
600000,144,923,0,0,0,0,0
600000,157,937,0,0,0,0,0
600000,165,901,0,0,0,0,0
600000,163,899,0,0,0,0,0
600000,159,884,0,0,0,0,0
600000,158,961,0,0,0,0,0
600000,146,921,0,0,0,0,0
600000,133,939,0,0,0,0,0
600000,139,940,0,0,0,0,0
600000,150,943,0,0,0,0,0
600000,141,958,0,0,0,0,0
600000,158,920,0,0,0,0,0
600000,167,944,0,0,0,0,0
600000,161,914,0,0,0,0,0
600000,129,926,0,0,0,0,0
600000,128,902,0,0,0,0,0
600000,147,961,0,0,0,0,0
600000,127,910,0,0,0,0,0
600000,151,925,0,0,0,0,0
620000,296,1122,0,0,0,0,0
620000,152,963,0,0,0,0,0
620000,140,935,0,0,0,0,0
620000,127,923,0,0,0,0,0
620000,151,964,0,0,0,0,0
620000,127,954,0,0,0,0,0
620000,116,924,0,0,0,0,0
620000,137,974,0,0,0,0,0
620000,148,904,0,0,0,0,0
620000,133,978,0,0,0,0,0
620000,133,950,0,0,0,0,0
620000,140,970,0,0,0,0,0
620000,138,960,0,0,0,0,0
620000,159,955,0,0,0,0,0
620000,144,921,0,0,0,0,0
620000,150,945,0,0,0,0,0
620000,148,958,0,0,0,0,0
620000,145,959,0,0,0,0,0
620000,143,953,0,0,0,0,0
620000,159,926,0,0,0,0,0
640000,290,1126,0,0,0,0,0
640000,156,982,0,0,0,0,0
640000,118,950,0,0,0,0,0
640000,117,881,0,0,0,0,0
640000,119,939,0,0,0,0,0
640000,131,928,0,0,0,0,0
640000,125,936,0,0,0,0,0
640000,132,951,0,0,0,0,0
640000,149,953,0,0,0,0,0
640000,133,945,0,0,0,0,0
640000,147,947,0,0,0,0,0
640000,136,940,0,0,0,0,0
640000,145,977,0,0,0,0,0
640000,137,999,0,0,0,0,0
640000,133,962,0,0,0,0,0
640000,151,971,0,0,0,0,0
640000,125,948,0,0,0,0,0
640000,136,943,0,0,0,0,0
640000,134,932,0,0,0,0,0
640000,137,967,0,0,0,0,0
660000,227,1124,0,0,0,0,0
660000,134,942,0,0,0,0,0
660000,166,922,0,0,0,0,0
660000,150,932,0,0,0,0,0
660000,151,930,0,0,0,0,0
660000,157,904,0,0,0,0,0
660000,159,923,0,0,0,0,0
660000,134,952,0,0,0,0,0
660000,158,930,0,0,0,0,0
660000,128,938,0,0,0,0,0
660000,155,894,0,0,0,0,0
660000,156,925,0,0,0,0,0
660000,163,985,0,0,0,0,0
660000,151,956,0,0,0,0,0
660000,137,934,0,0,0,0,0
660000,137,954,0,0,0,0,0
660000,128,937,0,0,0,0,0
660000,145,980,0,0,0,0,0
660000,147,920,0,0,0,0,0
660000,166,955,0,0,0,0,0
680000,310,1169,0,0,0,0,0
680000,150,974,0,0,0,0,0
680000,151,936,0,0,0,0,0
680000,142,924,0,0,0,0,0
680000,134,900,0,0,0,0,0
680000,148,927,0,0,0,0,0
680000,127,938,0,0,0,0,0
680000,140,935,0,0,0,0,0
680000,157,963,0,0,0,0,0
680000,154,964,0,0,0,0,0
680000,136,957,0,0,0,0,0
680000,144,896,0,0,0,0,0
680000,128,928,0,0,0,0,0
680000,137,958,0,0,0,0,0
680000,128,920,0,0,0,0,0
680000,149,945,0,0,0,0,0
680000,168,890,0,0,0,0,0
680000,160,968,0,0,0,0,0
680000,133,920,0,0,0,0,0
680000,139,975,0,0,0,0,0
700000,248,1224,0,0,0,0,0
700000,136,984,0,0,0,0,0
700000,105,930,0,0,0,0,0
700000,109,921,0,0,0,0,0
700000,142,968,0,0,0,0,0
700000,144,901,0,0,0,0,0
700000,143,924,0,0,0,0,0
700000,155,928,0,0,0,0,0
700000,139,918,0,0,0,0,0
700000,156,925,0,0,0,0,0
700000,147,924,0,0,0,0,0
700000,123,952,0,0,0,0,0
700000,143,978,0,0,0,0,0
700000,149,957,0,0,0,0,0
700000,148,918,0,0,0,0,0
700000,129,930,0,0,0,0,0
700000,136,900,0,0,0,0,0
700000,146,941,0,0,0,0,0
700000,127,926,0,0,0,0,0
700000,144,891,0,0,0,0,0
720000,291,1202,0,0,0,0,0
720000,180,975,0,0,0,0,0
720000,158,988,0,0,0,0,0
720000,139,942,0,0,0,0,0
720000,119,952,0,0,0,0,0
720000,140,943,0,0,0,0,0
720000,160,944,0,0,0,0,0
720000,134,935,0,0,0,0,0
720000,133,940,0,0,0,0,0
720000,134,936,0,0,0,0,0
720000,135,945,0,0,0,0,0
720000,134,938,0,0,0,0,0
720000,133,935,0,0,0,0,0
720000,133,923,0,0,0,0,0
720000,134,907,0,0,0,0,0
720000,137,914,0,0,0,0,0
720000,138,949,0,0,0,0,0
720000,157,940,0,0,0,0,0
720000,155,923,0,0,0,0,0
720000,135,950,0,0,0,0,0
740000,248,1144,0,0,0,0,0
740000,168,960,0,0,0,0,0
740000,159,902,0,0,0,0,0
740000,136,914,0,0,0,0,0
740000,139,945,0,0,0,0,0
740000,141,885,0,0,0,0,0
740000,136,961,0,0,0,0,0
740000,139,912,0,0,0,0,0
740000,151,905,0,0,0,0,0
740000,162,937,0,0,0,0,0
740000,153,899,0,0,0,0,0
740000,134,881,0,0,0,0,0
740000,148,924,0,0,0,0,0
740000,148,920,0,0,0,0,0
740000,155,934,0,0,0,0,0
740000,136,930,0,0,0,0,0
740000,127,935,0,0,0,0,0
740000,168,945,0,0,0,0,0
740000,161,956,0,0,0,0,0
740000,141,920,0,0,0,0,0
760000,253,1188,0,0,0,0,0
760000,159,921,0,0,0,0,0
760000,158,905,0,0,0,0,0
760000,135,958,0,0,0,0,0
760000,141,955,0,0,0,0,0
760000,155,946,0,0,0,0,0
760000,156,926,0,0,0,0,0
760000,159,931,0,0,0,0,0
760000,142,927,0,0,0,0,0
760000,146,912,0,0,0,0,0
760000,129,980,0,0,0,0,0
760000,157,922,0,0,0,0,0
760000,129,934,0,0,0,0,0
760000,129,926,0,0,0,0,0
760000,133,947,0,0,0,0,0
760000,153,954,0,0,0,0,0
760000,122,926,0,0,0,0,0
760000,134,935,0,0,0,0,0
760000,124,932,0,0,0,0,0
760000,126,972,0,0,0,0,0
780000,286,1088,0,0,0,0,0
780000,152,939,0,0,0,0,0
780000,170,1001,0,0,0,0,0
780000,162,920,0,0,0,0,0
780000,143,945,0,0,0,0,0
780000,175,962,0,0,0,0,0
780000,165,958,0,0,0,0,0
780000,167,936,0,0,0,0,0
780000,153,953,0,0,0,0,0
780000,136,973,0,0,0,0,0
780000,156,939,0,0,0,0,0
780000,166,955,0,0,0,0,0
780000,164,932,0,0,0,0,0
780000,155,937,0,0,0,0,0
780000,174,944,0,0,0,0,0
780000,140,952,0,0,0,0,0
780000,134,950,0,0,0,0,0
780000,147,995,0,0,0,0,0
780000,168,925,0,0,0,0,0
780000,134,918,0,0,0,0,0
800000,243,1470,0,0,0,0,0
800000,143,983,0,0,0,0,0
800000,183,975,0,0,0,0,0
800000,132,955,0,0,0,0,0
800000,135,920,0,0,0,0,0
800000,150,938,0,0,0,0,0
800000,141,969,0,0,0,0,0
800000,147,923,0,0,0,0,0
800000,159,949,0,0,0,0,0
