Pallet: "pallet_lottery", Extrinsic: "buy_ticket", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
42639,1616,0,0,0,0,0
38594,1506,0,0,0,0,0
38510,1462,0,0,0,0,0
38183,1484,0,0,0,0,0
37935,1456,0,0,0,0,0
65593,1446,0,0,0,0,0
38475,1452,0,0,0,0,0
38354,1467,0,0,0,0,0
37706,1377,0,0,0,0,0
37784,1407,0,0,0,0,0
38548,1417,0,0,0,0,0
37955,1440,0,0,0,0,0
37950,1464,0,0,0,0,0
37667,1411,0,0,0,0,0
38114,1425,0,0,0,0,0
37790,1422,0,0,0,0,0
38064,1459,0,0,0,0,0
38386,1458,0,0,0,0,0
37759,1434,0,0,0,0,0
37891,1428,0,0,0,0,0

Raw Storage Info
========
Storage: Lottery Lottery (r:1 w:0)
Storage: Lottery CallIndices (r:1 w:0)
Storage: Lottery TicketsCount (r:1 w:1)
Storage: Lottery Participants (r:1 w:1)
Storage: Lottery LotteryIndex (r:1 w:0)
Storage: System Account (r:1 w:1)
Storage: Lottery Tickets (r:0 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    38.11
              µs

Reads = 6
Writes = 4

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    38.11
              µs

Reads = 6
Writes = 4

Pallet: "pallet_lottery", Extrinsic: "set_calls", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
n,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
2,11576,1165,0,0,0,0,0
2,9739,1168,0,0,0,0,0
2,9673,1186,0,0,0,0,0
2,9971,1127,0,0,0,0,0
2,9658,1158,0,0,0,0,0
2,9702,1132,0,0,0,0,0
2,9609,1126,0,0,0,0,0
2,9540,1121,0,0,0,0,0
2,9678,1125,0,0,0,0,0
2,10993,1198,0,0,0,0,0
2,9620,1096,0,0,0,0,0
2,9534,1122,0,0,0,0,0
2,9604,1117,0,0,0,0,0
2,9606,1111,0,0,0,0,0
2,9565,1122,0,0,0,0,0
3,12472,1345,0,0,0,0,0
3,10920,1268,0,0,0,0,0
3,10552,1132,0,0,0,0,0
3,10485,1126,0,0,0,0,0
3,11881,1162,0,0,0,0,0
3,10261,1111,0,0,0,0,0
3,10135,1147,0,0,0,0,0
3,9993,1082,0,0,0,0,0
3,10027,1138,0,0,0,0,0
3,10180,1166,0,0,0,0,0
3,9962,1097,0,0,0,0,0
3,10011,1139,0,0,0,0,0
3,10157,1062,0,0,0,0,0
3,9799,1058,0,0,0,0,0
3,9887,1074,0,0,0,0,0
3,9739,1098,0,0,0,0,0
3,10007,1104,0,0,0,0,0
3,10014,1102,0,0,0,0,0
3,9778,1146,0,0,0,0,0
3,10061,1135,0,0,0,0,0
4,13072,1397,0,0,0,0,0
4,11117,1248,0,0,0,0,0
4,10542,1194,0,0,0,0,0
4,10455,1173,0,0,0,0,0
4,12071,1160,0,0,0,0,0
4,10576,1136,0,0,0,0,0
4,10328,1143,0,0,0,0,0
4,10621,1099,0,0,0,0,0
4,10353,1151,0,0,0,0,0
4,10283,1066,0,0,0,0,0
4,10351,1143,0,0,0,0,0
4,10331,1112,0,0,0,0,0
4,10335,1130,0,0,0,0,0
4,10283,1135,0,0,0,0,0
4,10367,1154,0,0,0,0,0
4,10256,1105,0,0,0,0,0
4,10373,1113,0,0,0,0,0
4,10331,1146,0,0,0,0,0
4,10157,1192,0,0,0,0,0
4,10162,1130,0,0,0,0,0
5,14479,1355,0,0,0,0,0
5,11345,1251,0,0,0,0,0
5,11040,1234,0,0,0,0,0
5,10639,1152,0,0,0,0,0
5,10596,1173,0,0,0,0,0
5,10525,1207,0,0,0,0,0
5,10297,1176,0,0,0,0,0
5,10502,1164,0,0,0,0,0
5,10848,1158,0,0,0,0,0
5,12353,1246,0,0,0,0,0
5,10887,1190,0,0,0,0,0
5,10626,1198,0,0,0,0,0
5,10450,1169,0,0,0,0,0
5,10322,1182,0,0,0,0,0
5,10452,1180,0,0,0,0,0
5,10485,1198,0,0,0,0,0
5,10517,1140,0,0,0,0,0
5,11841,1170,0,0,0,0,0
5,10577,1195,0,0,0,0,0
5,10187,1192,0,0,0,0,0
6,13249,1330,0,0,0,0,0
6,11521,1199,0,0,0,0,0
6,11215,1194,0,0,0,0,0
6,10997,1177,0,0,0,0,0
6,10771,1177,0,0,0,0,0
6,10949,1123,0,0,0,0,0
6,10430,1126,0,0,0,0,0
6,10987,1077,0,0,0,0,0
6,10860,1091,0,0,0,0,0
6,10847,1080,0,0,0,0,0
6,10575,1108,0,0,0,0,0
6,10567,1111,0,0,0,0,0
6,10516,1086,0,0,0,0,0
6,10738,1120,0,0,0,0,0
6,10597,1103,0,0,0,0,0
6,10632,1106,0,0,0,0,0
6,10530,1099,0,0,0,0,0
6,12251,1150,0,0,0,0,0
6,10865,1116,0,0,0,0,0
6,10471,1067,0,0,0,0,0
7,13909,1336,0,0,0,0,0
7,11381,1192,0,0,0,0,0
7,11190,1168,0,0,0,0,0
7,11033,1131,0,0,0,0,0
7,11092,1123,0,0,0,0,0
7,11185,1135,0,0,0,0,0
7,10871,1124,0,0,0,0,0
7,10944,1134,0,0,0,0,0
7,10812,1112,0,0,0,0,0
7,10890,1094,0,0,0,0,0
7,10715,1144,0,0,0,0,0
7,11291,1132,0,0,0,0,0
7,10910,1136,0,0,0,0,0
7,11166,1143,0,0,0,0,0
7,10922,1120,0,0,0,0,0
7,11116,1113,0,0,0,0,0
7,11068,1114,0,0,0,0,0
7,12601,1156,0,0,0,0,0
7,10877,1101,0,0,0,0,0
7,10643,1114,0,0,0,0,0
8,13807,1301,0,0,0,0,0
8,12024,1147,0,0,0,0,0
8,11852,1170,0,0,0,0,0
8,11593,1159,0,0,0,0,0
8,11455,1098,0,0,0,0,0
8,11542,1116,0,0,0,0,0
8,11176,1175,0,0,0,0,0
8,11193,1108,0,0,0,0,0
8,11300,1128,0,0,0,0,0
8,11212,1162,0,0,0,0,0
8,10850,1108,0,0,0,0,0
8,10937,1122,0,0,0,0,0
8,11593,1100,0,0,0,0,0
8,11277,1128,0,0,0,0,0
8,11115,1095,0,0,0,0,0
8,11232,1136,0,0,0,0,0
8,11203,1154,0,0,0,0,0
8,12742,1170,0,0,0,0,0
8,11255,1135,0,0,0,0,0
8,11621,1143,0,0,0,0,0
9,15475,1354,0,0,0,0,0
9,12138,1139,0,0,0,0,0
9,12047,1178,0,0,0,0,0
9,11735,1183,0,0,0,0,0
9,11790,1184,0,0,0,0,0
9,11564,1224,0,0,0,0,0
9,11537,1136,0,0,0,0,0
9,11416,1147,0,0,0,0,0
9,11587,1154,0,0,0,0,0
9,11346,1139,0,0,0,0,0
9,11350,1167,0,0,0,0,0
9,11256,1193,0,0,0,0,0
9,11386,1167,0,0,0,0,0
9,11401,1167,0,0,0,0,0
9,11398,1177,0,0,0,0,0
9,11579,1207,0,0,0,0,0
9,11381,1180,0,0,0,0,0
9,12954,1136,0,0,0,0,0
9,11351,1158,0,0,0,0,0
9,11211,1194,0,0,0,0,0
10,16496,1416,0,0,0,0,0
10,12605,1228,0,0,0,0,0
10,11838,1223,0,0,0,0,0
10,11922,1222,0,0,0,0,0
10,11640,1247,0,0,0,0,0
10,11637,1215,0,0,0,0,0
10,11974,1145,0,0,0,0,0
10,11571,1172,0,0,0,0,0
10,11582,1177,0,0,0,0,0
10,11715,1162,0,0,0,0,0
10,11964,1219,0,0,0,0,0
10,11588,1199,0,0,0,0,0
10,11488,1174,0,0,0,0,0
10,11725,1179,0,0,0,0,0
10,11686,1189,0,0,0,0,0
10,11577,1126,0,0,0,0,0
10,11510,1186,0,0,0,0,0
10,12920,1164,0,0,0,0,0
10,11496,1170,0,0,0,0,0
10,11410,1182,0,0,0,0,0

Raw Storage Info
========
Storage: Lottery CallIndices (r:0 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    9.278
    + n    0.252
              µs

Reads = 0 + (0 * n)
Writes = 1 + (0 * n)

Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    n   mean µs  sigma µs       %
    0     8.642     0.105    1.2%
    1     9.656     0.073    0.7%
    2     9.732     0.117    1.2%
    3     10.08     0.087    0.8%
    4     10.37     0.065    0.6%
    5     10.62     0.133    1.2%
    6     10.78     0.137    1.2%
    7     11.03     0.104    0.9%
    8     11.36     0.153    1.3%
    9     11.49     0.113    0.9%
   10     11.69     0.108    0.9%

Quality and confidence:
param     error
n         0.006

Model:
Time ~=    9.143
    + n    0.271
              µs

Reads = 0 + (0 * n)
Writes = 1 + (0 * n)

Pallet: "pallet_lottery", Extrinsic: "start_lottery", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
38542,1507,0,0,0,0,0
33349,1364,0,0,0,0,0
32903,1363,0,0,0,0,0
32506,1385,0,0,0,0,0
32087,1337,0,0,0,0,0
32240,1403,0,0,0,0,0
32254,1352,0,0,0,0,0
32279,1386,0,0,0,0,0
31648,1360,0,0,0,0,0
31746,1413,0,0,0,0,0
31900,1545,0,0,0,0,0
32361,1379,0,0,0,0,0
31670,1314,0,0,0,0,0
32039,1388,0,0,0,0,0
31842,1376,0,0,0,0,0
31814,1379,0,0,0,0,0
31982,1352,0,0,0,0,0
31537,1375,0,0,0,0,0
31262,1328,0,0,0,0,0
31580,1295,0,0,0,0,0

Raw Storage Info
========
Storage: Lottery Lottery (r:1 w:1)
Storage: Lottery LotteryIndex (r:1 w:1)
Storage: System Account (r:1 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    32.03
              µs

Reads = 3
Writes = 3

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    32.03
              µs

Reads = 3
Writes = 3

Pallet: "pallet_lottery", Extrinsic: "stop_repeat", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
4421,1434,0,0,0,0,0
4047,1282,0,0,0,0,0
3896,1269,0,0,0,0,0
3947,1226,0,0,0,0,0
3908,1199,0,0,0,0,0
3855,1208,0,0,0,0,0
3813,1183,0,0,0,0,0
3736,1186,0,0,0,0,0
3738,1193,0,0,0,0,0
3855,1193,0,0,0,0,0
3852,1198,0,0,0,0,0
3792,1212,0,0,0,0,0
3770,1222,0,0,0,0,0
3823,1217,0,0,0,0,0
3989,1248,0,0,0,0,0
3846,1212,0,0,0,0,0
3796,1216,0,0,0,0,0
3832,1238,0,0,0,0,0
3831,1247,0,0,0,0,0
3859,1215,0,0,0,0,0

Raw Storage Info
========
Storage: Lottery Lottery (r:1 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    3.852
              µs

Reads = 1
Writes = 1

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    3.852
              µs

Reads = 1
Writes = 1

Pallet: "pallet_lottery", Extrinsic: "on_initialize_end", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
55088,1502,0,0,0,0,0
52056,1443,0,0,0,0,0
50974,1391,0,0,0,0,0
51809,1436,0,0,0,0,0
50934,1486,0,0,0,0,0
51131,1437,0,0,0,0,0
51479,1423,0,0,0,0,0
51247,1420,0,0,0,0,0
51117,1465,0,0,0,0,0
50771,1407,0,0,0,0,0
51247,1476,0,0,0,0,0
51309,1428,0,0,0,0,0
51325,1405,0,0,0,0,0
51168,1451,0,0,0,0,0
51410,1403,0,0,0,0,0
69243,1593,0,0,0,0,0
51465,1468,0,0,0,0,0
50851,1508,0,0,0,0,0
51389,1476,0,0,0,0,0
51278,1501,0,0,0,0,0

Raw Storage Info
========
Storage: RandomnessCollectiveFlip RandomMaterial (r:1 w:0)
Storage: Lottery Lottery (r:1 w:1)
Storage: System Account (r:2 w:2)
Storage: Lottery TicketsCount (r:1 w:1)
Storage: Lottery Tickets (r:1 w:0)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=     51.3
              µs

Reads = 6
Writes = 4

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=     51.3
              µs

Reads = 6
Writes = 4

Pallet: "pallet_lottery", Extrinsic: "on_initialize_repeat", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
56008,1550,0,0,0,0,0
53220,1489,0,0,0,0,0
52842,1435,0,0,0,0,0
52987,1385,0,0,0,0,0
52181,1364,0,0,0,0,0
52682,1397,0,0,0,0,0
52806,1433,0,0,0,0,0
52134,1396,0,0,0,0,0
52224,1442,0,0,0,0,0
52430,1422,0,0,0,0,0
52194,1369,0,0,0,0,0
52863,1402,0,0,0,0,0
51776,1413,0,0,0,0,0
52953,1416,0,0,0,0,0
52173,1419,0,0,0,0,0
51870,1372,0,0,0,0,0
51999,1421,0,0,0,0,0
52704,1442,0,0,0,0,0
51910,1453,0,0,0,0,0
52309,1322,0,0,0,0,0

Raw Storage Info
========
Storage: RandomnessCollectiveFlip RandomMaterial (r:1 w:0)
Storage: Lottery Lottery (r:1 w:1)
Storage: System Account (r:2 w:2)
Storage: Lottery TicketsCount (r:1 w:1)
Storage: Lottery Tickets (r:1 w:0)
Storage: Lottery LotteryIndex (r:1 w:1)

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    52.43
              µs

Reads = 7
Writes = 5

Min Squares Analysis
========
-- Extrinsic Time --

Model:
Time ~=    52.43
              µs

Reads = 7
Writes = 5

